key,role,chance
Aatrox,TOP,0.726382995
Aatrox,MID,0.156019421
Aatrox,ADC,0.048361815
Aatrox,JUN,0.047635432
Aatrox,SUP,0.021600336
Ahri,MID,1
Akali,MID,0.668421705
Akali,TOP,0.255946482
Akali,ADC,0.033696729
Akali,SUP,0.022980674
Akali,JUN,0.01895441
Alistar,SUP,0.998183085
Alistar,MID,0.000908458
Alistar,TOP,0.000545075
Alistar,ADC,0.000181692
Alistar,JUN,0.000181692
Amumu,JUN,0.95411985
Amumu,TOP,0.021535581
Amumu,MID,0.01170412
Amumu,SUP,0.009831461
Amumu,ADC,0.002808989
Anivia,MID,0.937490208
Anivia,TOP,0.02804324
Anivia,SUP,0.016136613
Anivia,ADC,0.01503995
Anivia,JUN,0.003289989
Annie,MID,0.813441483
Annie,TOP,0.064310545
Annie,SUP,0.061413673
Annie,ADC,0.05195056
Annie,JUN,0.008883739
Ashe,ADC,0.995737425
Ashe,SUP,0.001278772
Ashe,TOP,0.001136687
Ashe,MID,0.001136687
Ashe,JUN,0.000710429
AurelionSol,MID,0.959505541
AurelionSol,TOP,0.018044899
AurelionSol,ADC,0.014776925
AurelionSol,SUP,0.004546746
AurelionSol,JUN,0.003125888
Azir,MID,0.984148863
Azir,ADC,0.007121525
Azir,TOP,0.005972892
Azir,SUP,0.001837813
Azir,JUN,0.000918907
Bard,SUP,0.986960774
Bard,TOP,0.004346409
Bard,MID,0.003585787
Bard,ADC,0.002825166
Bard,JUN,0.002281865
Blitzcrank,SUP,0.983624346
Blitzcrank,TOP,0.005524317
Blitzcrank,MID,0.005524317
Blitzcrank,ADC,0.003847292
Blitzcrank,JUN,0.001479728
Brand,SUP,0.654919484
Brand,ADC,0.152095102
Brand,MID,0.123261108
Brand,TOP,0.050670264
Brand,JUN,0.019054043
Braum,SUP,0.990198202
Braum,MID,0.004169826
Braum,JUN,0.00287014
Braum,TOP,0.001841222
Braum,ADC,0.000920611
Caitlyn,ADC,1
Camille,JUN,0.59617078
Camille,TOP,0.289562214
Camille,MID,0.059447743
Camille,ADC,0.03623761
Camille,SUP,0.018581653
Cassiopeia,MID,0.930798266
Cassiopeia,TOP,0.035928981
Cassiopeia,ADC,0.02362645
Cassiopeia,SUP,0.006850273
Cassiopeia,JUN,0.00279603
Chogath,TOP,0.894919569
Chogath,MID,0.051961579
Chogath,ADC,0.025575744
Chogath,JUN,0.018863557
Chogath,SUP,0.008679551
Corki,MID,0.921368766
Corki,ADC,0.049144521
Corki,TOP,0.022206043
Corki,SUP,0.004004368
Corki,JUN,0.003276301
Darius,TOP,0.971703176
Darius,MID,0.012294482
Darius,ADC,0.009611163
Darius,SUP,0.003268771
Darius,JUN,0.003122408
Diana,MID,0.900448263
Diana,TOP,0.048935375
Diana,JUN,0.023907359
Diana,ADC,0.018490848
Diana,SUP,0.008218155
DrMundo,TOP,0.975970425
DrMundo,JUN,0.010502437
DrMundo,MID,0.007309696
DrMundo,ADC,0.004116955
DrMundo,SUP,0.002100487
Draven,ADC,0.990247336
Draven,TOP,0.004423889
Draven,MID,0.003317917
Draven,SUP,0.001105972
Draven,JUN,0.000904886
Ekko,MID,0.880608525
Ekko,TOP,0.049705552
Ekko,JUN,0.035053281
Ekko,ADC,0.025518789
Ekko,SUP,0.009113853
Elise,JUN,0.987833411
Elise,TOP,0.003743566
Elise,SUP,0.00327562
Elise,ADC,0.003041647
Elise,MID,0.002105756
Evelynn,JUN,0.996480395
Evelynn,TOP,0.001605434
Evelynn,MID,0.001296697
Evelynn,SUP,0.000370485
Evelynn,ADC,0.00024699
Ezreal,ADC,0.978879727
Ezreal,MID,0.008107237
Ezreal,JUN,0.005113087
Ezreal,TOP,0.004030586
Ezreal,SUP,0.003869363
Fiddlesticks,SUP,0.893579492
Fiddlesticks,JUN,0.045978363
Fiddlesticks,MID,0.026693321
Fiddlesticks,TOP,0.02016698
Fiddlesticks,ADC,0.013581844
Fiora,TOP,0.995261004
Fiora,MID,0.002943922
Fiora,ADC,0.001148848
Fiora,SUP,0.000574424
Fiora,JUN,7.18E-05
Fizz,MID,0.973351919
Fizz,TOP,0.01680879
Fizz,ADC,0.004919646
Fizz,JUN,0.002787799
Fizz,SUP,0.002131847
Galio,MID,0.947193878
Galio,TOP,0.022704082
Galio,ADC,0.014540816
Galio,SUP,0.013903061
Galio,JUN,0.001658163
Gangplank,TOP,0.997268167
Gangplank,MID,0.001887448
Gangplank,ADC,0.000447027
Gangplank,JUN,0.000198679
Gangplank,SUP,0.000198679
Garen,TOP,0.982598357
Garen,MID,0.010376135
Garen,ADC,0.003674881
Garen,JUN,0.002161695
Garen,SUP,0.001188932
Gnar,TOP,0.999503291
Gnar,MID,0.000248355
Gnar,ADC,0.000248355
Gragas,JUN,0.482556234
Gragas,TOP,0.189900194
Gragas,SUP,0.181468792
Gragas,MID,0.097542083
Gragas,ADC,0.048532698
Graves,JUN,0.995892106
Graves,TOP,0.00155902
Graves,ADC,0.001138332
Graves,MID,0.000915615
Graves,SUP,0.000494927
Hecarim,JUN,0.925421722
Hecarim,TOP,0.051790471
Hecarim,MID,0.012133767
Hecarim,ADC,0.005474993
Hecarim,SUP,0.005179047
Heimerdinger,ADC,0.610300164
Heimerdinger,MID,0.180818257
Heimerdinger,TOP,0.161389803
Heimerdinger,SUP,0.02734375
Heimerdinger,JUN,0.020148026
Illaoi,TOP,0.998664887
Illaoi,JUN,0.000534045
Illaoi,MID,0.000534045
Illaoi,SUP,0.000267023
Irelia,TOP,0.541457533
Irelia,MID,0.312761125
Irelia,ADC,0.092588958
Irelia,JUN,0.028236548
Irelia,SUP,0.024955837
Ivern,JUN,0.978479853
Ivern,SUP,0.007326007
Ivern,TOP,0.005952381
Ivern,MID,0.004120879
Ivern,ADC,0.004120879
Janna,SUP,0.999712292
Janna,MID,0.000215781
Janna,TOP,7.19E-05
JarvanIV,JUN,0.718419275
JarvanIV,TOP,0.186669669
JarvanIV,MID,0.046611124
JarvanIV,ADC,0.029723035
JarvanIV,SUP,0.018576897
Jax,TOP,0.810796664
Jax,JUN,0.111944726
Jax,MID,0.041420944
Jax,ADC,0.021844575
Jax,SUP,0.013993091
