,Aatrox,Ahri,Akali,Amumu,Anivia,Annie,Ashe,AurelionSol,Azir,Bard,Blitzcrank,Brand,Braum,Caitlyn,Camille,Cassiopeia,Corki,Diana,Draven,Ekko,Elise,Ezreal,Fiddlesticks,Fizz,Galio,Gragas,Graves,Hecarim,Heimerdinger,Irelia,Ivern,Janna,JarvanIV,Jhin,Jinx,Kalista,Karma,Karthus,Kassadin,Katarina,Kayle,Kayn,Khazix,Kindred,KogMaw,Leblanc,LeeSin,Leona,Lissandra,Lucian,Lulu,Lux,Malzahar,Maokai,MasterYi,MissFortune,MonkeyKing,Mordekaiser,Morgana,Nautilus,Nidalee,Nocturne,Nunu,Olaf,Orianna,Pantheon,Pyke,Quinn,Rammus,RekSai,Rengar,Ryze,Sejuani,Shaco,Shen,Shyvana,Sivir,Skarner,Sona,Soraka,Swain,Syndra,TahmKench,Taliyah,Talon,Taric,Thresh,Tristana,Trundle,TwistedFate,Twitch,Udyr,Varus,Vayne,Veigar,Velkoz,Vi,Vladimir,Volibear,Warwick,Xayah,Xerath,Yasuo,Zac,Zed,Ziggs,Zilean,Zoe,Zyra,Alistar,Rakan,Chogath,Jayce,Malphite,Teemo,Viktor,XinZhao,Darius,DrMundo,Garen,Illaoi,Jax,Kennen,Kled,Nasus,Ornn,Poppy,Renekton,Riven,Rumble,Singed,Sion,Tryndamere,Yorick,Evelynn,Fiora,Gangplank,Gnar,Urgot,Kaisa,Nami
Aatrox,-0.0012615179519016584,0.080201288380781,0.05128556554686403,0.17921428188402944,0.032303526735288024,0.0710403688405512,-0.13962629782611552,0.07350877032754,-0.028005502719081865,0.5270403688405512,-0.018414176613994304,-0.13962629782611552,0.1937070355072178,0.16340400520418752,0.021885729665293452,0.036299628099810466,0.06275465455483686,0.07090001796335821,0.027040368840551166,0.011051996747527937,-0.13962629782611552,-0.09364928633186265,0.08954036884055117,0.04412465130068788,-0.009259396967411349,0.04864530711215609,0.24132608312626547,-0.05629296449278215,0.05716085076826205,0.01525833643996205,-0.2729596311594488,0.027040368840551166,0.050849892650075,-0.13962629782611552,-0.13962629782611552,-0.2507374089372266,-0.018414176613994304,0.04099385721264415,0.006421812139520255,0.04279968116146804,0.2127546545548369,-0.3062929644927822,-0.47295963115944883,0.12704036884055114,0.027040368840551166,0.023905572602306635,-0.47295963115944883,-0.2507374089372266,0.0595985083754349,-0.023980039322714142,0.05246409765411053,0.027040368840551166,0.031289660625253735,0.11324726539227525,-0.021346727933642395,0.027040368840551166,0.04877949927533376,0.15204036884055117,0.1722016591631318,0.027040368840551166,-0.022959631159448823,-0.028515186715004415,-0.08165528333336186,-0.06479636585332638,0.024191365991548308,0.023164399848303097,0.05734339914358144,0.08667339636348692,-0.13962629782611552,-0.47295963115944883,-0.016169507702658736,-0.007514169044544605,-0.22295963115944883,0.12704036884055114,0.027040368840551166,-0.2729596311594488,0.1937070355072178,-0.47295963115944883,-0.05629296449278215,-0.13962629782611552,0.04797060139869069,0.015676732476914812,0.1770403688405512,0.016836287207898093,0.07012979973486011,0.027040368840551166,0.027040368840551166,0.027040368840551166,0.07704036884055121,0.014745286873338037,0.08704036884055122,-0.2729596311594488,-0.035459631159448834,0.010911336582486664,-0.03339919159900928,-0.028515186715004415,0.5270403688405512,0.021087987888170234,0.07542746561474467,0.07249491429509658,-0.07295963115944881,0.05370703550721778,0.012754654554836875,-0.09795963115944883,0.018651107095584707,1.3341813524136992e-05,-0.007050540250357951,0.047709660179133806,0.20885855065873293,-0.0020038916084418323,0.0032406998487947147,0.02299481519446167,-0.007522330783368669,0.03762511065353458,0.04163746348059394,0.005561225347300192,-0.45736719903821016,0.010579809774562354,0.005106118495316281,0.0027270343926097612,0.020748393687881506,0.029623620068779055,0.0720095866528106,-0.02587636178761088,0.038706971545722446,-0.00773191621573649,0.02800089044922105,0.05147879933303662,0.006718222218427383,0.080122937462831,-0.04386073095023427,0.012591897930232382,-0.04437005772810279,-0.09964338519868371,,0.17488001261431896,-0.06271261869654307,0.18869665521283496,0.04126804477623722,,
Ahri,0.011514003546780838,0.5067497403946002,-0.039752653028542806,0.018242109758289493,-0.00785488314831645,0.03865493516855653,0.06610835945008692,0.02875090985182016,-0.03226304923831458,-0.07924548636237316,0.038260443511786535,0.02894084032432434,-0.07059025772472527,0.006718222218427383,0.03654459062853113,0.032030714703642105,-0.03268635859544933,-0.02320037628729299,-0.04256177747763057,0.006734629896379241,-0.27568129293119037,-0.0662497249892185,0.1159964611319674,0.004450165811539841,-0.0012816478742957438,-0.0002523722630465297,-0.003296728525921111,-0.09496747793470062,0.013915272786821031,0.0030520376111442538,-0.33500834214036757,0.027040368840551166,-0.042670393284403474,0.006718222218427383,0.07798312853121775,-0.15154993314701753,-0.012762478373141095,0.036881501819198304,-0.4932502596053998,-0.006430967278011512,0.02278099413993978,0.01731364140455066,0.11267281105990778,-0.19729990154188554,0.13543458449135626,-0.01349948078920037,-0.1583938372592858,0.04338190218816185,0.008727329133189049,-0.013098482868778294,0.00988116459893823,0.04176741087369468,0.05002128702762749,0.11324726539227525,-0.04427971470677186,0.07327573453945257,0.01632850962314658,-0.0008211180487871506,0.04616164897486541,0.020754513637626815,-0.005265369305617051,-0.04745058017302911,-0.12290827062704388,-0.02822748447244683,-0.0012053376798656368,-0.028608049933793622,0.006983737095563575,0.010919580981140759,-0.15726304923831458,-0.47742138672967954,-0.016750453092546136,-0.04547157492680037,-0.1066887418957907,0.0035646618911041594,0.013429652255023239,-0.04360738234366429,0.024318712774829332,0.011460134745595568,0.1624578118438016,-0.02631550450320519,-0.005265369305617051,-0.02682857456122684,-0.015823996229268333,0.025041909480850028,0.011514003546780838,-0.02256006738360361,0.0017556855698191987,0.014538234844900383,-0.03601464211924546,0.0021589517017100435,-0.03506565220122321,-0.015823996229268333,0.028791417436861005,-0.053248308332655314,0.02000868908490716,0.041627196886419304,0.02782118908490716,-0.006076070337540707,0.016378826257966606,-0.18591814676519097,-0.004939299259393792,-0.0007355426906583973,-0.013837624329023579,-0.09142791961196217,-0.012951343103934032,0.08179741455325368,0.009486822629342445,-0.003047984963516688,0.012727370530915022,-0.0020038916084418323,0.0032406998487947147,0.02299481519446167,-0.007522330783368669,0.03762511065353458,0.04163746348059394,0.005561225347300192,-0.45736719903821016,0.010579809774562354,0.005106118495316281,0.0027270343926097612,0.020748393687881506,0.029623620068779055,0.0720095866528106,-0.02587636178761088,0.038706971545722446,-0.00773191621573649,0.02800089044922105,0.05147879933303662,0.006718222218427383,0.080122937462831,-0.04386073095023427,0.012591897930232382,-0.04437005772810279,-0.09964338519868371,,0.17488001261431896,-0.06271261869654307,0.18869665521283496,0.04126804477623722,,
Akali,0.011514003546780838,0.03808557586422839,-0.6377925513093022,0.018242109758289493,-0.15433754891581253,0.03865493516855653,0.06610835945008692,0.07893794174957765,-0.05941496910213636,-0.07924548636237316,0.038260443511786535,0.02894084032432434,-0.07059025772472527,0.006718222218427383,0.03654459062853113,0.36220744869069776,-0.03268635859544933,0.17678239307726068,-0.04256177747763057,0.16895185390850548,-0.27568129293119037,-0.0662497249892185,0.1159964611319674,0.01623939089880088,-0.08434651955699068,-0.0002523722630465297,-0.003296728525921111,-0.09496747793470062,0.013915272786821031,0.0030520376111442538,-0.33500834214036757,0.027040368840551166,-0.042670393284403474,0.006718222218427383,0.07798312853121775,-0.15154993314701753,-0.012762478373141095,0.036881501819198304,0.06338115845577588,0.03268337201365439,0.02278099413993978,0.01731364140455066,0.11267281105990778,-0.19729990154188554,0.13543458449135626,0.12042442056110876,-0.1583938372592858,0.04338190218816185,0.04709642319001981,-0.013098482868778294,0.00988116459893823,0.04176741087369468,-0.20504961210394065,0.11324726539227525,-0.04427971470677186,0.07327573453945257,0.01632850962314658,-0.0008211180487871506,0.04616164897486541,0.020754513637626815,-0.005265369305617051,-0.04745058017302911,-0.12290827062704388,-0.02822748447244683,0.03617533711526426,-0.028608049933793622,0.006983737095563575,0.010919580981140759,-0.15726304923831458,-0.47742138672967954,-0.016750453092546136,-0.13008395347801183,-0.1066887418957907,0.0035646618911041594,0.013429652255023239,-0.04360738234366429,0.024318712774829332,0.011460134745595568,0.1624578118438016,-0.02631550450320519,-0.005265369305617051,0.04110332382045737,-0.015823996229268333,0.025041909480850028,0.1785981702758124,-0.02256006738360361,0.0017556855698191987,0.014538234844900383,-0.03601464211924546,-0.04416996336918892,-0.03506565220122321,-0.015823996229268333,0.028791417436861005,-0.053248308332655314,0.02000868908490716,0.041627196886419304,0.02782118908490716,-0.006076070337540707,0.016378826257966606,-0.18591814676519097,-0.004939299259393792,-0.0007355426906583973,-0.013837624329023579,-0.09142791961196217,-0.041994557259815206,0.08179741455325368,0.009486822629342445,-0.003477134525971595,0.012727370530915022,-0.0020038916084418323,0.0032406998487947147,0.02299481519446167,-0.007522330783368669,0.03762511065353458,0.04163746348059394,0.005561225347300192,-0.45736719903821016,0.010579809774562354,0.005106118495316281,0.0027270343926097612,0.020748393687881506,0.029623620068779055,0.0720095866528106,-0.02587636178761088,0.038706971545722446,-0.00773191621573649,0.02800089044922105,0.05147879933303662,0.006718222218427383,0.080122937462831,-0.04386073095023427,0.012591897930232382,-0.04437005772810279,-0.09964338519868371,,0.17488001261431896,-0.06271261869654307,0.18869665521283496,0.04126804477623722,,
Alistar,0.011514003546780838,0.027184928814617062,-0.05816993464052289,0.018242109758289493,-0.00785488314831645,0.03865493516855653,0.4418300653594771,0.02875090985182016,-0.05816993464052289,-0.07924548636237316,0.4418300653594771,0.4418300653594771,-0.07059025772472527,0.006718222218427383,0.03654459062853113,-0.3081699346405229,-0.03268635859544933,-0.05816993464052289,-0.04256177747763057,-0.05816993464052289,-0.27568129293119037,-0.0662497249892185,0.1159964611319674,-0.22483660130718958,-0.0012816478742957438,-0.0002523722630465297,-0.003296728525921111,-0.09496747793470062,0.013915272786821031,-0.5581699346405229,-0.33500834214036757,0.027040368840551166,0.4418300653594771,0.006718222218427383,0.07798312853121775,-0.15154993314701753,0.4418300653594771,0.4418300653594771,0.0028286556507133576,-0.5581699346405229,0.02278099413993978,0.01731364140455066,0.11267281105990778,-0.19729990154188554,0.13543458449135626,0.04183006535947709,-0.1583938372592858,0.04338190218816185,0.008727329133189049,-0.013098482868778294,0.4418300653594771,0.4418300653594771,0.4418300653594771,0.11324726539227525,-0.04427971470677186,0.07327573453945257,0.4418300653594771,-0.0008211180487871506,0.04616164897486541,0.020754513637626815,-0.005265369305617051,-0.04745058017302911,-0.12290827062704388,-0.02822748447244683,0.1918300653594771,0.4418300653594771,-0.5581699346405229,0.010919580981140759,-0.15726304923831458,-0.47742138672967954,-0.016750453092546136,-0.5581699346405229,-0.1066887418957907,0.0035646618911041594,0.013429652255023239,-0.04360738234366429,0.024318712774829332,0.011460134745595568,0.1624578118438016,-0.05816993464052289,-0.5581699346405229,-0.05816993464052289,-0.5581699346405229,0.025041909480850028,-0.05816993464052289,-0.02256006738360361,0.0017556855698191987,0.014538234844900383,-0.03601464211924546,-0.5581699346405229,-0.03506565220122321,-0.015823996229268333,0.028791417436861005,-0.053248308332655314,0.02000868908490716,0.041627196886419304,0.02782118908490716,-0.5581699346405229,0.016378826257966606,0.4418300653594771,-0.004939299259393792,0.10849673202614374,0.04183006535947709,-0.09142791961196217,-0.012951343103934032,0.08179741455325368,0.009486822629342445,-0.003047984963516688,0.012727370530915022,-0.2803921568627451,0.0032406998487947147,0.02299481519446167,-0.007522330783368669,0.03762511065353458,0.04163746348059394,0.005561225347300192,-0.45736719903821016,0.010579809774562354,0.005106118495316281,0.0027270343926097612,0.020748393687881506,0.029623620068779055,0.0720095866528106,-0.02587636178761088,0.038706971545722446,-0.00773191621573649,0.02800089044922105,0.05147879933303662,0.006718222218427383,0.080122937462831,-0.04386073095023427,0.012591897930232382,-0.04437005772810279,-0.09964338519868371,,0.17488001261431896,-0.06271261869654307,0.18869665521283496,0.04126804477623722,,
Amumu,0.011514003546780838,0.02067941171906207,-0.02932058828093792,-0.11265392161427124,-0.05810846706881673,-0.26265392161427126,-0.012653921614271257,-0.05810846706881673,-0.17932058828093794,-0.5126539216142713,-0.012653921614271257,-0.08408249304284271,0.48734607838572874,0.48734607838572874,-0.012653921614271257,-0.012653921614271257,-0.26265392161427126,-0.09598725494760457,-0.5126539216142713,-0.03439305204905385,-0.27568129293119037,0.48734607838572874,0.23734607838572874,-0.1422835512439009,0.2873460783857288,0.2873460783857288,-0.5126539216142713,-0.09496747793470062,-0.13765392161427126,-0.11265392161427124,-0.33500834214036757,0.027040368840551166,-0.042670393284403474,0.48734607838572874,0.48734607838572874,-0.15154993314701753,-0.26265392161427126,0.11697570801535839,0.0034751106437932444,-0.17932058828093794,0.15401274505239537,0.01731364140455066,0.11267281105990778,0.48734607838572874,-0.26265392161427126,-0.012653921614271257,0.48734607838572874,0.04338190218816185,0.005864596904247232,0.15401274505239537,-0.17932058828093794,-0.11265392161427124,0.17155660470151823,0.48734607838572874,-0.26265392161427126,0.2873460783857288,-0.17932058828093794,-0.5126539216142713,-0.5126539216142713,0.48734607838572874,-0.012653921614271257,-0.04745058017302911,0.48734607838572874,-0.5126539216142713,-0.05432058828093794,0.23734607838572874,-0.17932058828093794,0.010919580981140759,-0.5126539216142713,-0.47742138672967954,-0.17932058828093794,-0.14598725494760462,-0.1066887418957907,-0.17932058828093794,-0.012653921614271257,-0.5126539216142713,0.48734607838572874,0.011460134745595568,0.48734607838572874,-0.02631550450320519,0.23734607838572874,0.00734607838572876,0.48734607838572874,0.15401274505239537,-0.09404927045148054,-0.02256006738360361,-0.5126539216142713,0.15401274505239537,-0.03601464211924546,-0.08408249304284271,-0.3459872549476046,-0.015823996229268333,0.20163179267144304,-0.17932058828093794,0.20163179267144304,0.15401274505239537,0.02782118908490716,0.0662934468067814,-0.5126539216142713,-0.5126539216142713,-0.004939299259393792,0.07067941171906211,0.054510257490206326,-0.012653921614271257,-0.08408249304284271,0.1873460783857287,0.23734607838572874,-0.03765392161427128,0.2873460783857288,-0.0020038916084418323,0.0032406998487947147,0.02299481519446167,-0.007522330783368669,0.03762511065353458,0.04163746348059394,0.005561225347300192,-0.45736719903821016,0.010579809774562354,0.005106118495316281,0.0027270343926097612,0.020748393687881506,0.029623620068779055,0.0720095866528106,-0.02587636178761088,0.038706971545722446,-0.00773191621573649,0.02800089044922105,0.05147879933303662,0.006718222218427383,0.080122937462831,-0.04386073095023427,0.012591897930232382,-0.04437005772810279,-0.09964338519868371,,0.17488001261431896,-0.06271261869654307,0.18869665521283496,0.04126804477623722,,
Anivia,0.011514003546780838,0.22431373507209118,-0.039752653028542806,0.018242109758289493,0.021468960798745346,0.03865493516855653,0.06610835945008692,-0.19065225132246674,0.1426810820108666,-0.07924548636237316,0.038260443511786535,0.02894084032432434,-0.07059025772472527,0.006718222218427383,0.03654459062853113,-0.3017633624335779,-0.03268635859544933,-0.02320037628729299,-0.04256177747763057,0.006734629896379241,-0.27568129293119037,-0.0662497249892185,0.1159964611319674,-0.37905804842391594,-0.0012816478742957438,-0.0002523722630465297,-0.003296728525921111,-0.09496747793470062,0.013915272786821031,0.0030520376111442538,-0.33500834214036757,0.027040368840551166,-0.042670393284403474,0.006718222218427383,0.07798312853121775,-0.15154993314701753,-0.012762478373141095,0.036881501819198304,-0.5239855846558,0.1426810820108666,0.02278099413993978,0.01731364140455066,0.11267281105990778,-0.19729990154188554,0.13543458449135626,0.0023302048178841517,-0.1583938372592858,0.04338190218816185,0.1426810820108666,-0.013098482868778294,0.00988116459893823,0.04176741087369468,0.0996703293226946,0.11324726539227525,-0.04427971470677186,0.07327573453945257,0.01632850962314658,-0.0008211180487871506,0.04616164897486541,0.020754513637626815,-0.005265369305617051,-0.04745058017302911,-0.12290827062704388,-0.02822748447244683,0.1856918346990386,-0.028608049933793622,0.006983737095563575,0.010919580981140759,-0.15726304923831458,-0.47742138672967954,-0.016750453092546136,-0.04547157492680037,-0.1066887418957907,0.0035646618911041594,0.013429652255023239,-0.04360738234366429,0.024318712774829332,0.011460134745595568,0.1624578118438016,-0.02631550450320519,-0.005265369305617051,-0.4128744735446889,-0.015823996229268333,0.025041909480850028,0.011962127762500607,-0.02256006738360361,0.0017556855698191987,0.014538234844900383,-0.03601464211924546,0.2717133400753826,-0.03506565220122321,-0.015823996229268333,0.028791417436861005,-0.053248308332655314,0.02000868908490716,0.041627196886419304,0.02782118908490716,-0.006076070337540707,0.016378826257966606,-0.18591814676519097,-0.004939299259393792,-0.0007355426906583973,-0.013837624329023579,-0.09142791961196217,0.08712552645531109,0.08179741455325368,0.009486822629342445,0.4760144153441999,0.012727370530915022,-0.0020038916084418323,0.0032406998487947147,0.02299481519446167,-0.007522330783368669,0.03762511065353458,0.04163746348059394,0.005561225347300192,-0.45736719903821016,0.010579809774562354,0.005106118495316281,0.0027270343926097612,0.020748393687881506,0.029623620068779055,0.0720095866528106,-0.02587636178761088,0.038706971545722446,-0.00773191621573649,0.02800089044922105,0.05147879933303662,0.006718222218427383,0.080122937462831,-0.04386073095023427,0.012591897930232382,-0.04437005772810279,-0.09964338519868371,,0.17488001261431896,-0.06271261869654307,0.18869665521283496,0.04126804477623722,,
Annie,0.011514003546780838,-0.037406483902445664,-0.11121072843839752,0.21346459623692715,-0.10082111804878713,0.1355425183148492,0.16584554861787948,0.27695665972899064,-0.1371847544124235,0.49917888195121285,0.2991788819512129,-0.0722496894773586,0.49917888195121285,0.49917888195121285,0.13379426656659743,-0.039282656510325586,-0.10082111804878713,-0.21510683233450145,0.24917888195121285,0.2908455486178795,-0.5008211180487872,0.49917888195121285,0.2991788819512129,-0.06603850935313499,0.16584554861787948,-0.0008211180487871506,-0.5008211180487872,-0.5008211180487872,-0.05637667360434273,-0.010375258176175683,-0.33500834214036757,0.027040368840551166,-0.0008211180487871506,0.006718222218427383,0.2991788819512129,-0.0008211180487871506,0.16584554861787948,0.044633427405758264,0.05473443750676843,0.022988405760736685,-0.16748778471545384,0.01731364140455066,0.11267281105990778,-0.5008211180487872,0.12417888195121285,-0.20294877762325525,-0.1583938372592858,0.04338190218816185,0.037640420412751285,0.24917888195121285,0.49917888195121285,-0.16748778471545384,0.12417888195121285,0.037640420412751285,-0.25082111804878715,-0.10082111804878713,-0.0008211180487871506,-0.0008211180487871506,0.49917888195121285,-0.25082111804878715,-0.005265369305617051,0.49917888195121285,-0.25082111804878715,0.05473443750676843,-0.10951677022270018,0.09008797286030379,-0.0008211180487871506,0.010919580981140759,-0.5008211180487872,-0.47742138672967954,-0.0008211180487871506,-0.011025199681440223,-0.1066887418957907,-0.5008211180487872,0.08251221528454622,-0.5008211180487872,-0.5008211180487872,0.011460134745595568,0.49917888195121285,-0.5008211180487872,0.05473443750676843,-0.05637667360434273,0.24917888195121285,0.025041909480850028,-0.0797684864698398,-0.5008211180487872,0.49917888195121285,0.16584554861787948,-0.0008211180487871506,-0.0722496894773586,0.3325122152845462,-0.015823996229268333,-0.0008211180487871506,0.09917888195121283,0.037640420412751285,-0.0008211180487871506,0.02782118908490716,0.05731841683493377,-0.25082111804878715,-0.5008211180487872,-0.004939299259393792,0.05473443750676843,0.015572324574163687,-0.09142791961196217,-0.10498778471545384,0.09917888195121283,-0.10082111804878713,-0.1341544513821205,-0.5008211180487872,-0.0020038916084418323,0.0032406998487947147,0.02299481519446167,-0.007522330783368669,0.03762511065353458,0.04163746348059394,0.005561225347300192,-0.45736719903821016,0.010579809774562354,0.005106118495316281,0.0027270343926097612,0.020748393687881506,0.029623620068779055,0.0720095866528106,-0.02587636178761088,0.038706971545722446,-0.00773191621573649,0.02800089044922105,0.05147879933303662,0.006718222218427383,0.080122937462831,-0.04386073095023427,0.012591897930232382,-0.04437005772810279,-0.09964338519868371,,0.17488001261431896,-0.06271261869654307,0.18869665521283496,0.04126804477623722,,
Ashe,0.011514003546780838,0.11600150678904919,-0.15415978353353144,0.15766817345571582,0.05350150678904919,-0.06455404876650639,0.2052872210747635,0.06243007821762059,-0.08042706463952226,-0.07924548636237316,0.038260443511786535,0.02894084032432434,-0.5089984932109508,0.2052872210747635,0.4910015067890492,0.15766817345571582,0.15766817345571582,0.11600150678904919,-0.5089984932109508,-0.11769414538486384,-0.27568129293119037,-0.3423318265442842,0.2410015067890492,-0.14057744057937188,0.017317296262733373,0.09100150678904917,-0.003296728525921111,-0.1756651598776175,0.29100150678904924,0.06792458371212606,-0.33500834214036757,0.4910015067890492,0.2410015067890492,-0.5089984932109508,0.09100150678904917,-0.5089984932109508,-0.008998493210950809,0.2804751909995755,-0.008998493210950809,0.31453091855375503,-0.5089984932109508,-0.5089984932109508,0.11267281105990778,-0.5089984932109508,0.2052872210747635,-0.09990758412004169,-0.5089984932109508,0.04338190218816185,0.15766817345571582,-0.1756651598776175,0.4910015067890492,-0.047460031672489245,0.138060330318461,-0.008998493210950809,-0.008998493210950809,0.2410015067890492,0.2410015067890492,0.15766817345571582,0.4910015067890492,-0.3089984932109508,0.4910015067890492,-0.04745058017302911,-0.008998493210950809,-0.02822748447244683,0.12736514315268554,0.4910015067890492,0.4910015067890492,0.010919580981140759,-0.15726304923831458,-0.5089984932109508,-0.5089984932109508,0.21827423406177648,-0.5089984932109508,-0.1756651598776175,0.15766817345571582,-0.5089984932109508,0.4910015067890492,0.011460134745595568,0.4910015067890492,-0.02631550450320519,-0.3089984932109508,-0.15185563606809366,-0.5089984932109508,-0.008998493210950809,-0.008998493210950809,-0.5089984932109508,0.4910015067890492,0.4910015067890492,0.4910015067890492,-0.16284464705710466,-0.10899849321095079,-0.015823996229268333,-0.008998493210950809,-0.1756651598776175,0.06243007821762059,0.4910015067890492,-0.1756651598776175,-0.20899849321095082,-0.5089984932109508,-0.008998493210950809,-0.004939299259393792,-0.10899849321095079,0.01877928456682698,-0.10899849321095079,0.03154204732958976,0.4910015067890492,-0.1756651598776175,0.056218898093396974,0.2410015067890492,-0.5089984932109508,0.0032406998487947147,0.02299481519446167,-0.007522330783368669,0.03762511065353458,0.04163746348059394,0.005561225347300192,-0.45736719903821016,0.010579809774562354,0.005106118495316281,0.0027270343926097612,0.020748393687881506,0.029623620068779055,0.0720095866528106,-0.02587636178761088,0.038706971545722446,-0.00773191621573649,0.02800089044922105,0.05147879933303662,0.006718222218427383,0.080122937462831,-0.04386073095023427,0.012591897930232382,-0.04437005772810279,-0.09964338519868371,,0.17488001261431896,-0.06271261869654307,0.18869665521283496,0.04126804477623722,,
AurelionSol,0.011514003546780838,0.018805324029204644,-0.039752653028542806,0.018242109758289493,-0.00785488314831645,0.03865493516855653,0.06610835945008692,-0.25980164114492477,-0.03226304923831458,-0.07924548636237316,0.038260443511786535,0.02894084032432434,-0.07059025772472527,0.006718222218427383,0.03654459062853113,0.032030714703642105,-0.03268635859544933,-0.02320037628729299,-0.04256177747763057,0.006734629896379241,-0.27568129293119037,-0.0662497249892185,0.1159964611319674,0.12328293596950315,-0.0012816478742957438,-0.0002523722630465297,-0.003296728525921111,-0.09496747793470062,0.013915272786821031,0.0030520376111442538,-0.33500834214036757,0.027040368840551166,-0.042670393284403474,0.006718222218427383,0.07798312853121775,-0.15154993314701753,-0.012762478373141095,0.036881501819198304,0.1859695031336822,-0.14835885507527294,0.02278099413993978,0.01731364140455066,0.11267281105990778,-0.19729990154188554,0.13543458449135626,0.018805324029204644,-0.1583938372592858,0.04338190218816185,-0.24238870582154162,-0.013098482868778294,0.00988116459893823,0.04176741087369468,0.5411933837306971,0.11324726539227525,-0.04427971470677186,0.07327573453945257,0.01632850962314658,-0.0008211180487871506,0.04616164897486541,0.020754513637626815,-0.005265369305617051,-0.04745058017302911,-0.12290827062704388,-0.02822748447244683,-0.14835885507527294,-0.028608049933793622,0.006983737095563575,0.010919580981140759,-0.15726304923831458,-0.47742138672967954,-0.016750453092546136,-0.04547157492680037,-0.1066887418957907,0.0035646618911041594,0.013429652255023239,-0.04360738234366429,0.024318712774829332,0.011460134745595568,0.1624578118438016,-0.02631550450320519,-0.005265369305617051,-0.057178393745557936,-0.015823996229268333,0.025041909480850028,0.28474833624087353,-0.02256006738360361,0.0017556855698191987,0.014538234844900383,-0.03601464211924546,0.018805324029204644,-0.03506565220122321,-0.015823996229268333,0.028791417436861005,-0.053248308332655314,0.02000868908490716,0.041627196886419304,0.02782118908490716,-0.006076070337540707,0.016378826257966606,-0.18591814676519097,-0.004939299259393792,-0.0007355426906583973,-0.013837624329023579,-0.09142791961196217,0.12328293596950315,0.08179741455325368,0.009486822629342445,-0.4588066162693028,0.012727370530915022,-0.0020038916084418323,0.0032406998487947147,0.02299481519446167,-0.007522330783368669,0.03762511065353458,0.04163746348059394,0.005561225347300192,-0.45736719903821016,0.010579809774562354,0.005106118495316281,0.0027270343926097612,0.020748393687881506,0.029623620068779055,0.0720095866528106,-0.02587636178761088,0.038706971545722446,-0.00773191621573649,0.02800089044922105,0.05147879933303662,0.006718222218427383,0.080122937462831,-0.04386073095023427,0.012591897930232382,-0.04437005772810279,-0.09964338519868371,,0.17488001261431896,-0.06271261869654307,0.18869665521283496,0.04126804477623722,,
Azir,0.011514003546780838,0.00868715792909343,-0.039752653028542806,0.018242109758289493,-0.00785488314831645,0.03865493516855653,0.06610835945008692,-0.17709862785669236,-0.3291051798632444,-0.07924548636237316,0.038260443511786535,0.02894084032432434,-0.07059025772472527,0.006718222218427383,0.03654459062853113,-0.04847769923576363,-0.03268635859544933,-0.02320037628729299,-0.04256177747763057,0.006734629896379241,-0.27568129293119037,-0.0662497249892185,0.1159964611319674,-0.009891420649485038,-0.0012816478742957438,-0.0002523722630465297,-0.003296728525921111,-0.09496747793470062,0.013915272786821031,0.0030520376111442538,-0.33500834214036757,0.027040368840551166,-0.042670393284403474,0.006718222218427383,0.07798312853121775,-0.15154993314701753,-0.012762478373141095,0.036881501819198304,-0.5428643936224581,0.03191038115231676,0.02278099413993978,0.01731364140455066,0.11267281105990778,-0.19729990154188554,0.13543458449135626,0.24091939016132574,-0.1583938372592858,0.04338190218816185,0.09043290367483925,-0.013098482868778294,0.00988116459893823,0.04176741087369468,0.061768811010746515,0.11324726539227525,-0.04427971470677186,0.07327573453945257,0.01632850962314658,-0.0008211180487871506,0.04616164897486541,0.020754513637626815,-0.005265369305617051,-0.04745058017302911,-0.12290827062704388,-0.02822748447244683,-0.21054006929813376,-0.028608049933793622,0.006983737095563575,0.010919580981140759,-0.15726304923831458,-0.47742138672967954,-0.016750453092546136,-0.04547157492680037,-0.1066887418957907,0.0035646618911041594,0.013429652255023239,-0.04360738234366429,0.024318712774829332,0.011460134745595568,0.1624578118438016,-0.02631550450320519,-0.005265369305617051,-0.3861076368657014,-0.015823996229268333,0.025041909480850028,0.45713560637754186,-0.02256006738360361,0.0017556855698191987,0.014538234844900383,-0.03601464211924546,0.19447294371487922,-0.03506565220122321,-0.015823996229268333,0.028791417436861005,-0.053248308332655314,0.02000868908490716,0.041627196886419304,0.02782118908490716,-0.006076070337540707,0.016378826257966606,-0.18591814676519097,-0.004939299259393792,-0.0007355426906583973,-0.013837624329023579,-0.09142791961196217,0.28137274674371454,0.08179741455325368,0.009486822629342445,0.33738508662702216,0.012727370530915022,-0.0020038916084418323,0.0032406998487947147,0.02299481519446167,-0.007522330783368669,0.03762511065353458,0.04163746348059394,0.005561225347300192,-0.45736719903821016,0.010579809774562354,0.005106118495316281,0.0027270343926097612,0.020748393687881506,0.029623620068779055,0.0720095866528106,-0.02587636178761088,0.038706971545722446,-0.00773191621573649,0.02800089044922105,0.05147879933303662,0.006718222218427383,0.080122937462831,-0.04386073095023427,0.012591897930232382,-0.04437005772810279,-0.09964338519868371,,0.17488001261431896,-0.06271261869654307,0.18869665521283496,0.04126804477623722,,
