,Aatrox,Amumu,Annie,Ashe,Blitzcrank,Brand,Caitlyn,Camille,Chogath,Corki,Darius,Draven,Ezreal,Fiddlesticks,Garen,Gragas,Graves,Hecarim,Heimerdinger,Illaoi,Ivern,JarvanIV,Jax,Jayce,Jhin,Jinx,Kaisa,Kalista,Karma,Kayle,Kennen,Kindred,Kled,KogMaw,LeeSin,Leona,Lucian,Lulu,Lux,Malphite,Maokai,MasterYi,MissFortune,MonkeyKing,Mordekaiser,Morgana,Nasus,Nidalee,Nunu,Olaf,Ornn,Pantheon,Poppy,Pyke,Quinn,Rammus,Renekton,Rengar,Rumble,Sejuani,Shen,Singed,Sivir,Sona,Swain,Taliyah,Taric,Teemo,Thresh,Tristana,Trundle,Tryndamere,Twitch,Urgot,Varus,Vayne,Veigar,Velkoz,Vi,Viktor,Volibear,Warwick,Xayah,Xerath,Zac,Ziggs,Zilean,Ahri,Akali,Alistar,Anivia,AurelionSol,Azir,Bard,Braum,Cassiopeia,Diana,DrMundo,Ekko,Elise,Fizz,Galio,Gangplank,Gnar,Irelia,Janna,Karthus,Katarina,Kayn,Khazix,Lissandra,Malzahar,Nautilus,Nocturne,Orianna,Riven,Ryze,Shaco,Shyvana,Sion,Skarner,Soraka,Syndra,TahmKench,Talon,TwistedFate,Udyr,Vladimir,Yasuo,Yorick,Zed,Zoe,Zyra,Rakan,XinZhao,Evelynn,Fiora,RekSai,Kassadin,Leblanc,Nami
Aatrox,-0.038946056274264174,-0.11064416948181133,-0.13564416948181135,0.015217899483705888,-0.5106441694818113,0.15602249718485528,-0.07459765785390438,-0.5106441694818113,0.2893558305181887,0.15602249718485528,-0.5106441694818113,-0.0012102072176604084,-0.04346270230034416,-0.01064416948181135,0.48935583051818865,-0.01064416948181135,-0.5106441694818113,-0.5106441694818113,-0.07161977923790891,0.48935583051818865,-0.5106441694818113,0.48935583051818865,0.20364154480390295,-0.01064416948181135,-0.039912462164738205,0.034810375972734064,0.0011250028796161438,0.08194842311078121,0.15602249718485528,-0.5106441694818113,0.15602249718485528,0.48935583051818865,0.23935583051818865,0.08935583051818863,-0.5106441694818113,-0.01064416948181135,0.02529663390085246,0.23935583051818865,0.04491138607374423,0.48935583051818865,-0.01064416948181135,0.48935583051818865,0.0024448357537907306,0.15602249718485528,-0.22492988376752565,-0.11064416948181133,0.48935583051818865,0.48935583051818865,-0.01064416948181135,0.48935583051818865,-0.5106441694818113,-0.3439775028151447,-0.01064416948181135,-0.11064416948181133,0.07268916385152202,-0.5106441694818113,-0.26064416948181135,0.08935583051818863,-0.5106441694818113,0.48935583051818865,0.48935583051818865,-0.17731083614847803,-0.014403567978051979,-0.5106441694818113,0.05219736057283342,-0.01064416948181135,0.48935583051818865,0.06078440194676005,0.48935583051818865,-0.0037948544133181716,0.48935583051818865,0.48935583051818865,-0.029162688000329895,-0.5106441694818113,-0.0433074860647259,-0.03564416948181137,0.1893558305181886,-0.01064416948181135,-0.5106441694818113,0.01567161999187283,0.15602249718485528,-0.5106441694818113,-0.10480862571523308,-0.01064416948181135,-0.5106441694818113,-0.01064416948181135,0.23935583051818865,0.11397356265974273,-0.06623132572224144,-0.31029652095518123,-0.05091943982238267,-0.02780334738019763,-0.04082091309269795,-0.2088346942724561,-0.0392834601158486,0.03617202521457141,0.0013660905135079449,-0.017997797688103834,-0.02218701899221734,-0.3844651212721957,-0.07563133171453296,-0.016592720280064588,0.37253527602737246,-0.07007575757575757,0.03332356454105634,0.22681894270213449,0.06366361139076643,-0.001512136935959335,0.09015278845445185,-0.42554353850012305,-0.018657805931046323,0.06529944751579414,0.026327343725895513,0.03221369490721271,0.04553283462781643,-0.03756266355961124,-0.060681186028074596,-0.0475916673933226,-0.11684180007739084,-0.0902180418784421,-0.16208808202720693,-0.12291576363280138,-0.010410673793459169,-0.0410018250288825,0.03183070551688566,-0.0054359755443569024,-0.4464218989494144,-0.012843434224122902,0.038522465677115036,-0.27489826601917816,-0.043288914832640274,-0.00950903790835217,0.030197856354063524,-0.42297338792910316,-0.4298908191875607,,,-0.42898482452670744,0.19705322938936104,0.054275365372422446,
Ahri,-0.0194850839567986,-0.08140458860076144,-0.1717407230545429,0.03494806493008856,0.17349737218355227,0.10058070551688564,-0.0026032567472653034,0.14785634654252672,-0.059835961149781014,-0.05316929448311436,-0.24316929448311436,0.02689491097434954,-0.016911321414368796,0.028569835951668232,0.12221532090150106,-0.002973216051741834,0.13183070551688564,-0.06459786591168581,0.014643205516885638,0.006830705516885638,0.25683070551688564,-0.08407838539220525,0.1258783245645047,0.021116419802599873,0.015526357690798631,0.008761207447387565,-1.1914228959908346e-05,0.0013362000223801629,-0.1360264373402572,0.14968784837402854,0.05228525097143105,0.17349737218355227,0.06238626107244122,0.0008066091313434498,-0.3265026278164477,0.001386096115391977,0.04572270327849731,0.3068307055168857,0.03314649499056982,-0.011687813001632907,-0.0083208096346295,-0.10031215162597151,0.03758893155408166,-0.026502627816447688,0.12046706915324928,0.006830705516885638,-0.15983596114978105,-0.22044202175584166,-0.12474824185153544,-0.31135111266493254,-0.49316929448311436,0.028569835951668232,0.143194341880522,-0.01316929448311438,0.006830705516885638,-0.39316929448311433,-0.49316929448311436,0.006830705516885638,-0.20745500876882866,0.5068307055168857,-0.24316929448311436,-0.09316929448311434,0.015680263039009545,0.143194341880522,-0.08386696890171902,0.2068307055168856,0.25683070551688564,0.03460848329466343,0.10683070551688562,0.002782122520934238,0.07825927694545703,-0.03862383993765983,0.0198418579332425,0.006830705516885638,0.0058327015248696434,-0.00723179448311434,0.030640229326409474,-0.006682807996627849,-0.11816929448311436,0.08375378243996251,-0.03862383993765983,0.006830705516885638,-0.005490954664696734,-0.05316929448311436,-0.11816929448311436,0.12046706915324928,-0.11816929448311436,0.11397356265974273,-0.04738616195299389,0.5068307055168857,-0.04316929448311435,-0.06459786591168581,0.09773979642597658,-0.15983596114978105,0.5068307055168857,0.05228525097143105,0.13183070551688564,-0.1360264373402572,0.10257538636794944,-0.49316929448311436,-0.026502627816447688,-0.04872485003866994,0.3068307055168857,0.5068307055168857,0.039617590762787314,-0.49316929448311436,0.006830705516885638,-0.009298326741178864,0.10683070551688562,-0.49316929448311436,-0.04155639125730792,0.09016403885021901,0.22111641980259994,0.10683070551688562,-0.0454081004532636,-0.15983596114978105,-0.1402281180125261,0.13183070551688564,0.5068307055168857,0.13183070551688564,-0.49316929448311436,-0.24316929448311436,-0.010410673793459169,0.05228525097143105,0.03183070551688566,-0.0008616021754220271,0.17349737218355227,-0.023604077091810005,0.03416189522749652,0.006830705516885638,-0.004797201459858569,0.06238626107244122,-0.11816929448311436,-0.42297338792910316,-0.4298908191875607,,,-0.42898482452670744,0.19705322938936104,0.054275365372422446,
Akali,-0.08148837771145206,0.07704820765440157,-0.36045179234559843,0.021234254166029476,-0.13723750663131273,-0.038336407730213795,0.02281091951880837,-0.15372102311482921,-0.059315428709234785,-0.02295179234559841,0.14847677908297297,0.07537035530540825,0.030015732850370236,-0.04795179234559843,0.16038154098773494,0.05852968913588302,0.17704820765440155,-0.13723750663131273,0.1008577314639254,-0.42295179234559843,0.5770482076544016,-0.059315428709234785,-0.015544384938191047,-0.03164744451951146,0.027934974366543464,0.06286381049128098,0.07015445258546404,0.030285617726344027,0.0315936621998561,-0.15022451961832572,0.07704820765440157,0.5770482076544016,-0.08961845901226512,0.07055470116089507,-0.22295179234559842,0.5770482076544016,0.0862942958478582,0.021492652098845988,0.01607259789830401,-0.06580893520274128,-0.03406290345670954,0.272700381567445,0.09428958696474643,0.028661110880208007,0.11758874819494214,-0.13723750663131273,-0.04795179234559843,-0.08961845901226512,-0.08961845901226512,0.2437148743210682,-0.08961845901226512,0.04133392194011587,0.21341184401803792,0.0001251307313246408,0.02385671829269942,-0.08961845901226512,0.2437148743210682,-0.07001061587501017,0.07704820765440157,-0.42295179234559843,0.0315936621998561,0.13260376320995715,0.06578304300968751,0.20204820765440157,-0.017665448733263645,0.005619636225830116,-0.42295179234559843,-0.035855018152050055,-0.42295179234559843,-0.005348796090916763,-0.42295179234559843,-0.13723750663131273,-0.014554845780712922,0.07704820765440157,0.04007637666848607,0.006760667718299307,-0.0369868800648967,-0.02295179234559841,-0.04795179234559843,0.01822467824263685,0.43419106479725866,0.07704820765440157,0.02704820765440158,-0.05258142197522808,-0.08961845901226512,0.05323868384487773,-0.08961845901226512,0.11397356265974273,-0.1296184590122651,-0.42295179234559843,-0.05091943982238267,-0.02780334738019763,-0.04082091309269795,-0.17295179234559843,-0.42295179234559843,0.03617202521457141,0.0013660905135079449,-0.13723750663131273,-0.02218701899221734,-0.42295179234559843,-0.07563133171453296,-0.016592720280064588,-0.42295179234559843,-0.07007575757575757,0.01957694328658549,0.07704820765440157,0.02786787978554911,-0.001512136935959335,-0.22295179234559842,-0.42554353850012305,-0.018657805931046323,0.06529944751579414,-0.32295179234559845,0.32704820765440157,0.04553283462781643,-0.04795179234559843,-0.060681186028074596,0.2437148743210682,0.005619636225830116,-0.42295179234559843,0.5770482076544016,0.5770482076544016,-0.010410673793459169,-0.08961845901226512,0.03183070551688566,-0.0054359755443569024,0.07704820765440157,-0.08961845901226512,-0.012116577898645842,0.5770482076544016,-0.043288914832640274,-0.00950903790835217,0.192432823039017,-0.42297338792910316,-0.4298908191875607,,,-0.42898482452670744,0.19705322938936104,0.054275365372422446,
Alistar,-0.012111363433398109,-0.005112481835938182,-0.006641483848531388,0.17649572649572642,0.028614326915990307,0.020865074363057567,0.009829059829059794,0.05725527014679843,-0.042412792454089826,-0.018456294622875624,0.012598340977452688,0.017231042493465215,0.17649572649572642,-0.012775187437505775,0.038599518572744795,-0.013145788208160591,-0.028640628901976217,-0.0617601534621407,0.03868642695173302,0.20417113369486872,0.027533738602063845,-0.4901709401709402,0.0006839829017047938,0.0351264031060968,0.30982905982905984,0.009829059829059794,0.009829059829059794,-0.4901709401709402,0.5098290598290598,-0.4901709401709402,0.001163611390766428,0.01802976706888676,-0.008199879517200026,0.05047957913541323,-0.1781136890711429,0.001386096115391977,0.009829059829059794,0.005072777873222523,0.04541595606167059,0.03854395845322389,0.12738320655081803,-0.4901709401709402,-0.4901709401709402,0.06107626443647951,0.06061336309329812,-0.02609259587011553,0.5098290598290598,-0.04909892796706497,-0.08198005890222909,-0.056179291957720645,-0.11363012695328567,0.0124948663481661,-0.012409097578127137,0.008284331213304741,-0.4901709401709402,-0.08872428086304443,-0.05655570864982984,-0.01857859695141656,0.029436220355379017,-0.0545703713370041,0.026796739523499147,0.01246844263157118,-0.4901709401709402,0.267236610863243,0.5098290598290598,0.015920290972310125,0.04375090303386531,0.028648663052982637,-0.034266796289559476,-0.4901709401709402,-0.4901709401709402,-0.039597512303688576,0.02488576063330325,-0.18915180597356784,0.5098290598290598,0.5098290598290598,0.06383988676886032,0.5098290598290598,-0.04795179234559843,0.03503605571063467,0.026796739523499147,-0.1069499583589811,-0.1568376068376069,0.5098290598290598,-0.13716144945131076,0.10054507464616436,0.024973135200290264,0.11397356265974273,-0.06623132572224144,-0.21239316239316242,-0.05091943982238267,-0.02780334738019763,-0.04082091309269795,-0.2088346942724561,-0.0392834601158486,0.03617202521457141,0.0013660905135079449,-0.017997797688103834,-0.02218701899221734,-0.3844651212721957,-0.07563133171453296,-0.016592720280064588,0.37253527602737246,-0.07007575757575757,0.03332356454105634,0.22681894270213449,0.06366361139076643,-0.001512136935959335,0.09015278845445185,-0.42554353850012305,-0.018657805931046323,0.06529944751579414,0.5098290598290598,0.03221369490721271,0.04553283462781643,-0.03756266355961124,-0.060681186028074596,-0.0475916673933226,-0.11684180007739084,-0.0902180418784421,-0.16208808202720693,-0.12291576363280138,-0.010410673793459169,-0.0410018250288825,0.03183070551688566,-0.0054359755443569024,-0.4464218989494144,-0.012843434224122902,0.038522465677115036,-0.27489826601917816,-0.043288914832640274,-0.00950903790835217,0.030197856354063524,-0.42297338792910316,-0.4298908191875607,,,-0.42898482452670744,0.19705322938936104,0.054275365372422446,
Amumu,-0.012111363433398109,-0.1405711846697173,-0.04057118466971732,-0.14771404181257447,-0.2905711846697173,0.1260954819969493,-0.08602573012426279,-0.04057118466971732,-0.042412792454089826,-0.04057118466971732,0.012598340977452688,-0.21914261324114587,-0.07545490559994988,-0.5405711846697173,-0.5405711846697173,-0.04057118466971732,-0.028640628901976217,-0.5405711846697173,0.4594288153302827,0.4594288153302827,0.027533738602063845,0.4594288153302827,-0.5405711846697173,0.05942881533028266,0.02192881533028268,0.07053992644139384,-0.11199975609828877,0.04276214866361605,-0.5405711846697173,-0.06616196655338083,0.4594288153302827,-0.5405711846697173,-0.5405711846697173,-0.04057118466971732,-0.5405711846697173,0.001386096115391977,-0.14434476957537767,0.4594288153302827,0.1260954819969493,-0.04057118466971732,0.4594288153302827,-0.04057118466971732,-0.04057118466971732,0.20942881533028268,0.4594288153302827,0.4594288153302827,-0.5405711846697173,0.4594288153302827,-0.04057118466971732,-0.5405711846697173,-0.11363012695328567,0.4594288153302827,-0.012409097578127137,0.4594288153302827,0.02385671829269942,-0.5405711846697173,-0.05655570864982984,0.4594288153302827,0.029436220355379017,-0.0545703713370041,0.20942881533028268,-0.04057118466971732,0.09276214866361598,0.267236610863243,-0.04057118466971732,0.4594288153302827,-0.5405711846697173,0.1260954819969493,-0.034266796289559476,-0.082237851336384,-0.036221828287333946,-0.04057118466971732,0.1653111682714592,-0.5405711846697173,0.019428815330282734,0.0400739766206053,0.1260954819969493,0.1260954819969493,-0.04795179234559843,0.4594288153302827,0.4594288153302827,-0.5405711846697173,-0.023329805359372457,0.4594288153302827,-0.13716144945131076,0.4594288153302827,0.1260954819969493,0.11397356265974273,-0.06623132572224144,-0.31029652095518123,-0.05091943982238267,-0.02780334738019763,-0.04082091309269795,-0.5405711846697173,-0.0392834601158486,0.03617202521457141,0.0013660905135079449,-0.017997797688103834,-0.02218701899221734,-0.3844651212721957,-0.07563133171453296,-0.016592720280064588,0.37253527602737246,-0.07007575757575757,0.03332356454105634,0.4594288153302827,0.06366361139076643,-0.001512136935959335,0.09015278845445185,-0.42554353850012305,-0.018657805931046323,0.06529944751579414,-0.04057118466971732,0.03221369490721271,0.04553283462781643,-0.03756266355961124,-0.060681186028074596,-0.0475916673933226,-0.11684180007739084,-0.0902180418784421,-0.16208808202720693,-0.12291576363280138,-0.010410673793459169,-0.0410018250288825,0.03183070551688566,-0.0054359755443569024,-0.4464218989494144,-0.012843434224122902,0.038522465677115036,-0.27489826601917816,-0.043288914832640274,-0.00950903790835217,0.030197856354063524,-0.42297338792910316,-0.4298908191875607,,,-0.42898482452670744,0.19705322938936104,0.054275365372422446,
Anivia,-0.039214876521358744,-0.1677863050927873,0.1036422663357841,0.036561520994169205,-0.02334186064834287,0.1322136949072127,0.012213694907212691,0.03221369490721271,0.1036422663357841,-0.1820720193785016,0.5322136949072127,0.029750640720020594,-0.00226906371347696,-0.051119638426120606,0.03221369490721271,0.07388036157387934,-0.4677863050927873,0.5322136949072127,0.04440881685843223,-0.06778630509278727,-0.13445297175945398,-0.13445297175945398,0.23221369490721266,0.03221369490721271,0.029069040819162395,0.0452007078942257,-0.0046284103559451895,-0.02334186064834287,0.03221369490721271,0.16857733127084906,-0.051119638426120606,-0.13445297175945398,-0.4677863050927873,-0.14635773366421584,-0.1781136890711429,-0.13445297175945398,0.009164049517141781,-0.1820720193785016,-0.2046284103559452,-0.28596812327460547,0.03221369490721271,-0.31394015124663344,0.017569343442777552,0.0539528253419953,0.23221369490721266,0.19888036157387934,0.03221369490721271,0.03221369490721271,0.07766824036175812,0.33221369490721275,0.19888036157387934,-0.039214876521358744,-0.30111963842612066,-0.10414994145642364,0.013695176388694164,0.5322136949072127,-0.4677863050927873,-0.2177863050927873,-0.4677863050927873,-0.4677863050927873,0.11554702824054608,0.19888036157387934,0.01706217975569757,0.3893565520500698,0.04440881685843223,-0.039214876521358744,0.5322136949072127,-0.013240850547332761,-0.4677863050927873,0.03888036157387942,-0.2177863050927873,0.03221369490721271,0.03221369490721271,-0.4677863050927873,0.05721369490721273,-0.00711214778941649,-0.02334186064834287,0.1036422663357841,0.19888036157387934,0.1322136949072127,-0.13445297175945398,-0.4677863050927873,-0.04499218744572847,-0.03028630509278729,-0.13445297175945398,0.32168737911773904,-0.13445297175945398,0.11397356265974273,-0.23249218744572847,-0.31029652095518123,-0.013240850547332761,-0.02780334738019763,-0.04082091309269795,0.5322136949072127,0.5322136949072127,0.03617202521457141,0.03221369490721271,0.03221369490721271,-0.051119638426120606,-0.4677863050927873,-0.07563133171453296,0.23809604784838923,-0.4677863050927873,-0.07007575757575757,-0.016173401866980852,0.22681894270213449,0.1036422663357841,-0.001512136935959335,0.33221369490721275,-0.42554353850012305,-0.018657805931046323,0.06529944751579414,-0.06778630509278727,0.03221369490721271,0.04553283462781643,0.1036422663357841,-0.11778630509278731,-0.06778630509278727,-0.4677863050927873,0.2822136949072127,0.5322136949072127,-0.13445297175945398,-0.010410673793459169,0.19888036157387934,0.03183070551688566,-0.0054359755443569024,0.03221369490721271,-0.09569328183697334,-0.06353098594385115,0.5322136949072127,-0.043288914832640274,-0.00950903790835217,0.03221369490721271,-0.42297338792910316,-0.4298908191875607,,,-0.42898482452670744,0.19705322938936104,0.054275365372422446,
Annie,0.06783097210431055,-0.22383569456235614,0.0791946084679469,-0.013051380836865967,-0.30716902789568945,-0.0016134723401338702,-0.05716902789568945,-0.05716902789568945,-0.5571690278956895,-0.5571690278956895,0.012598340977452688,-0.061169027895689454,-0.03992764858534459,-0.012775187437505775,0.44283097210431055,-0.5571690278956895,-0.5571690278956895,0.44283097210431055,0.04283097210431053,0.44283097210431055,0.44283097210431055,-0.05716902789568945,0.0006839829017047938,-0.22383569456235614,-0.07771697310116893,0.014259543532881946,-0.023835694562356124,-0.2528212018087329,-0.1285975993242609,0.44283097210431055,0.001163611390766428,0.01802976706888676,-0.5571690278956895,0.22060874988208834,-0.1781136890711429,0.001386096115391977,0.02162753370889503,0.005072777873222523,-0.05716902789568945,-0.22383569456235614,0.44283097210431055,-0.22383569456235614,-0.06184192509195113,-0.15716902789568943,0.2428309721043106,-0.5571690278956895,0.44283097210431055,-0.05716902789568945,0.44283097210431055,-0.5571690278956895,-0.11363012695328567,-0.15716902789568943,0.44283097210431055,-0.5571690278956895,-0.1285975993242609,-0.08872428086304443,0.44283097210431055,-0.05716902789568945,0.10949763877097718,0.44283097210431055,0.44283097210431055,0.01246844263157118,-0.13344021433636744,-0.5571690278956895,0.17010369937703784,0.10949763877097718,0.04375090303386531,-0.05716902789568945,-0.05716902789568945,0.012598413964775679,-0.036221828287333946,-0.5571690278956895,-0.045541120918945244,-0.18915180597356784,-0.10002617075283232,-0.15312862385528542,0.2761643054376439,0.44283097210431055,-0.5571690278956895,0.2428309721043106,0.026796739523499147,0.44283097210431055,-0.01810652789568945,0.10949763877097718,-0.5571690278956895,0.44283097210431055,0.44283097210431055,0.11397356265974273,-0.06623132572224144,-0.31029652095518123,-0.05091943982238267,-0.02780334738019763,-0.04082091309269795,0.44283097210431055,0.44283097210431055,0.03617202521457141,0.0013660905135079449,0.44283097210431055,-0.02218701899221734,-0.3844651212721957,-0.07563133171453296,-0.016592720280064588,0.37253527602737246,-0.07007575757575757,0.03332356454105634,0.22681894270213449,0.06366361139076643,-0.001512136935959335,0.09015278845445185,-0.42554353850012305,-0.018657805931046323,0.06529944751579414,-0.5571690278956895,-0.5571690278956895,0.04553283462781643,0.44283097210431055,-0.060681186028074596,-0.0475916673933226,-0.5571690278956895,-0.0902180418784421,0.44283097210431055,-0.12291576363280138,-0.010410673793459169,0.44283097210431055,0.03183070551688566,-0.0054359755443569024,-0.4464218989494144,-0.012843434224122902,0.038522465677115036,-0.27489826601917816,-0.043288914832640274,-0.00950903790835217,0.10949763877097718,-0.42297338792910316,-0.4298908191875607,,,-0.42898482452670744,0.19705322938936104,0.054275365372422446,
Ashe,-0.012111363433398109,-0.005112481835938182,-0.006641483848531388,0.32929547573216,0.028614326915990307,0.020865074363057567,0.14596214239882654,0.05725527014679843,-0.042412792454089826,-0.018456294622875624,0.012598340977452688,0.22373992017660432,-0.22102814886330924,-0.012775187437505775,0.038599518572744795,-0.013145788208160591,-0.028640628901976217,-0.0617601534621407,0.03868642695173302,0.20417113369486872,0.027533738602063845,-0.06955835558883,0.0006839829017047938,0.0351264031060968,0.13551438120479686,-0.057037857601173275,-0.0394259854550547,0.0759621423988266,0.020617726097470535,-0.06616196655338083,0.001163611390766428,0.01802976706888676,-0.008199879517200026,0.05047957913541323,-0.1781136890711429,0.001386096115391977,-0.21412016212792237,0.005072777873222523,0.04541595606167059,0.03854395845322389,0.12738320655081803,-0.0647479680264087,0.17096214239882673,0.06107626443647951,0.06061336309329812,-0.02609259587011553,0.03221369490721271,-0.04909892796706497,-0.08198005890222909,-0.056179291957720645,-0.11363012695328567,0.0124948663481661,-0.012409097578127137,0.008284331213304741,0.02385671829269942,-0.08872428086304443,-0.05655570864982984,-0.01857859695141656,0.029436220355379017,-0.0545703713370041,0.026796739523499147,0.01246844263157118,0.3209621423988266,0.267236610863243,0.003754284965895971,0.015920290972310125,0.04375090303386531,0.028648663052982637,-0.034266796289559476,-0.67070452426784,-0.036221828287333946,-0.039597512303688576,0.02488576063330325,-0.18915180597356784,-0.04014896871228435,-0.09532573638905219,0.06383988676886032,0.03247266878989752,-0.04795179234559843,0.03503605571063467,0.026796739523499147,-0.1069499583589811,-0.06460696329223019,0.03590642837940855,-0.13716144945131076,0.10054507464616436,0.024973135200290264,0.11397356265974273,-0.06623132572224144,-0.31029652095518123,-0.05091943982238267,-0.02780334738019763,-0.04082091309269795,-0.2088346942724561,-0.0392834601158486,0.03617202521457141,0.0013660905135079449,-0.017997797688103834,-0.02218701899221734,-0.3844651212721957,-0.07563133171453296,-0.016592720280064588,0.37253527602737246,-0.07007575757575757,0.03332356454105634,0.22681894270213449,0.06366361139076643,-0.001512136935959335,0.09015278845445185,-0.42554353850012305,-0.018657805931046323,0.06529944751579414,0.026327343725895513,0.03221369490721271,0.04553283462781643,-0.03756266355961124,-0.060681186028074596,-0.0475916673933226,-0.11684180007739084,-0.0902180418784421,-0.16208808202720693,-0.12291576363280138,-0.010410673793459169,-0.0410018250288825,0.03183070551688566,-0.0054359755443569024,-0.4464218989494144,-0.012843434224122902,0.038522465677115036,-0.27489826601917816,-0.043288914832640274,-0.00950903790835217,0.030197856354063524,-0.42297338792910316,-0.4298908191875607,,,-0.42898482452670744,0.19705322938936104,0.054275365372422446,
AurelionSol,0.023921936813465106,-0.14274472985320158,0.12392193681346508,0.001399414290942591,-0.07607806318653487,0.0456610672482477,0.027189910669674244,0.05725527014679843,0.1489219368134651,-0.2760780631865349,-0.07607806318653487,0.03254262646863748,0.010362614779566792,-0.2260780631865349,-0.4760780631865349,0.023921936813465106,-0.028640628901976217,-0.14274472985320158,0.1585373214288497,0.5239219368134651,0.027533738602063845,-0.2760780631865349,-0.3760780631865349,0.24614415903568732,0.03297171056912118,0.0778787713458392,0.04541985636963708,-0.07607806318653487,0.12392193681346508,0.19058860348013174,-0.07607806318653487,0.01802976706888676,0.5239219368134651,-0.1903637774722492,-0.1781136890711429,-0.4760780631865349,0.0659066696378926,0.2739219368134651,-0.04750663461510635,0.2382076510991794,0.2739219368134651,-0.14274472985320158,0.03254262646863748,0.2931527060442344,-0.09146267857115026,0.07947749236902069,0.023921936813465106,0.023921936813465106,0.5239219368134651,0.2739219368134651,-0.4760780631865349,0.16028557317710146,-0.07607806318653487,0.19058860348013174,-0.07607806318653487,-0.14274472985320158,0.19058860348013174,0.023921936813465106,-0.07607806318653487,-0.14274472985320158,0.12392193681346508,0.023921936813465106,0.0456610672482477,0.5239219368134651,-0.001330588439060143,0.12392193681346508,-0.4760780631865349,-0.30941139651986826,-0.034266796289559476,0.017072621744971928,0.5239219368134651,0.023921936813465106,0.046309996514957597,0.023921936813465106,0.05094896384049208,0.07738105631032044,0.11215723093111218,0.2739219368134651,0.023921936813465106,0.0953505082420365,-0.07607806318653487,-0.1069499583589811,0.023921936813465106,-0.00941139651986822,-0.4760780631865349,0.16392193681346512,-0.4760780631865349,0.11397356265974273,-0.01453960164807333,-0.31029652095518123,-0.14274472985320158,-0.14274472985320158,0.0953505082420365,0.023921936813465106,0.5239219368134651,-0.1903637774722492,-0.04750663461510635,0.32392193681346515,-0.11893520604367774,-0.4760780631865349,-0.07563133171453296,-0.11244169955017125,0.37253527602737246,-0.07007575757575757,0.0953505082420365,0.5239219368134651,0.04392193681346512,-0.001512136935959335,-0.4760780631865349,-0.4760780631865349,-0.018657805931046323,0.06529944751579414,-0.14274472985320158,0.03221369490721271,0.04553283462781643,-0.4760780631865349,-0.01453960164807333,-0.14274472985320158,0.19058860348013174,-0.4760780631865349,0.5239219368134651,-0.4760780631865349,-0.010410673793459169,0.5239219368134651,0.03183070551688566,-0.0054359755443569024,-0.4760780631865349,-0.011792348900820593,0.11896325912751471,-0.27489826601917816,-0.043288914832640274,-0.00950903790835217,0.023921936813465106,-0.42297338792910316,-0.4298908191875607,,,-0.42898482452670744,0.19705322938936104,0.054275365372422446,
Azir,0.021471056515341258,-0.08964005459576985,-0.13725910221481746,0.07702661207089684,-0.12297338792910317,-0.15024611520183045,0.00010353514781991091,0.07702661207089684,-0.04797338792910316,-0.02297338792910314,-0.02297338792910314,0.08297899302327777,0.0052726257383228226,-0.29797338792910316,-0.22297338792910315,-0.013882478838194046,-0.08964005459576985,0.24369327873756347,-0.038358003313718525,0.07702661207089684,0.027533738602063845,0.14845518349946824,-0.2801162450719603,-0.006306721262436477,0.08088265320200222,0.03157206661635137,0.05500377357171249,0.06682253043824377,0.17702661207089682,0.20202661207089684,0.005598040642325386,-0.42297338792910316,-0.02297338792910314,0.22408543560030864,-0.1781136890711429,0.5770266120708969,0.04953170372059135,-0.006306721262436477,-0.02297338792910314,0.0507108225972126,0.1064383767767792,0.07702661207089684,0.01160605132323328,0.0385650736093584,0.07702661207089684,0.24369327873756347,-0.08964005459576985,-0.42297338792910316,-0.15024611520183045,-0.08964005459576985,0.07702661207089684,0.12248115752544225,-0.13725910221481746,0.24369327873756347,0.19241122745551226,-0.08964005459576985,-0.42297338792910316,-0.17297338792910316,-0.08964005459576985,-0.0545703713370041,-0.13725910221481746,-0.02297338792910314,0.04088203375764382,-0.08964005459576985,0.02439503312352842,-0.42297338792910316,0.5770266120708969,0.11035994540423016,-0.08964005459576985,0.035850141482661524,-0.42297338792910316,0.5770266120708969,0.05377079811740848,-0.18915180597356784,0.03929076301429307,-0.004223387929103151,-0.06583053078624601,0.50010353514782,0.5770266120708969,0.04761484736501448,-0.02297338792910314,-0.42297338792910316,0.02791946921375399,0.055287481636114244,-0.22297338792910315,0.10334240154458102,-0.06583053078624601,0.11397356265974273,-0.18159407758427557,-0.42297338792910316,-0.02297338792910314,-0.02780334738019763,-0.15024611520183045,0.24369327873756347,0.5770266120708969,0.03617202521457141,-0.006306721262436477,-0.13725910221481746,0.11548815053243527,0.5770266120708969,-0.07563133171453296,-0.15981549319226107,0.37253527602737246,-0.07007575757575757,0.09054012558441032,0.22681894270213449,0.1539496889939737,-0.001512136935959335,-0.02297338792910314,-0.42297338792910316,-0.018657805931046323,0.06529944751579414,-0.08964005459576985,0.07702661207089684,0.04553283462781643,0.24369327873756347,-0.0019207563501558167,-0.02297338792910314,-0.08964005459576985,0.29131232635661114,-0.16208808202720693,-0.42297338792910316,-0.010410673793459169,0.07702661207089684,0.03183070551688566,-0.0054359755443569024,-0.4464218989494144,-0.12297338792910317,0.11548815053243527,-0.42297338792910316,-0.043288914832640274,-0.00950903790835217,0.021471056515341258,-0.42297338792910316,-0.4298908191875607,,,-0.42898482452670744,0.19705322938936104,0.054275365372422446,
