,Aatrox,Ahri,Akali,Alistar,Amumu,Anivia,Annie,Ashe,AurelionSol,Azir,Bard,Blitzcrank,Brand,Braum,Caitlyn,Camille,Cassiopeia,Corki,Diana,Draven,Ekko,Elise,Ezreal,Fiddlesticks,Fizz,Galio,Gragas,Graves,Hecarim,Heimerdinger,Irelia,Ivern,Janna,JarvanIV,Jhin,Jinx,Kalista,Karma,Karthus,Kassadin,Katarina,Kayle,Kayn,Kindred,KogMaw,Leblanc,LeeSin,Leona,Lissandra,Lucian,Lulu,Lux,Malzahar,Maokai,MasterYi,MissFortune,MonkeyKing,Mordekaiser,Morgana,Nautilus,Nidalee,Nocturne,Nunu,Olaf,Orianna,Pantheon,Pyke,Quinn,Rakan,Rammus,RekSai,Rengar,Ryze,Sejuani,Shaco,Shen,Shyvana,Sivir,Skarner,Sona,Soraka,Swain,Syndra,TahmKench,Taliyah,Talon,Taric,Thresh,Tristana,Trundle,TwistedFate,Twitch,Udyr,Varus,Vayne,Veigar,Velkoz,Vi,Vladimir,Volibear,Warwick,Xayah,Xerath,XinZhao,Yasuo,Zac,Zed,Ziggs,Zilean,Zoe,Zyra,Chogath,Jayce,Khazix,Malphite,Teemo,Viktor,Darius,DrMundo,Garen,Illaoi,Jax,Kennen,Kled,Nasus,Ornn,Poppy,Renekton,Riven,Rumble,Singed,Sion,Tryndamere,Yorick,Evelynn,Fiora,Gangplank,Gnar,Urgot,Kaisa,Nami
Aatrox,-0.0646541896115147,-0.031054472184696702,0.00731715737072236,-0.25127390792137383,-0.07819698484445076,-0.027315574588040514,-0.058650957101701706,0.03718763054016461,-0.0047221837834428015,0.08120031888274992,-0.25127390792137383,-0.034607241254707155,0.022535615888150007,0.1653927587452928,-0.05682946347692941,-0.025083431730897665,-0.0392678288940182,-0.011477989554026902,0.034637694288570886,-0.0012739079213738291,0.00024124359377764026,-0.5012739079213738,0.1487260920786262,-0.09742775407521997,-0.014607241254707137,-0.03445974862933843,-0.021010750026636993,-0.16794057458804051,0.13872609207862618,-0.013178669826135747,-0.005797220377880441,0.2987260920786262,-0.16794057458804051,0.15662082892073148,0.49872609207862617,0.1653927587452928,0.49872609207862617,0.048726092078626215,-0.04252139283083056,0.015372207984914676,-0.03374144038890631,-0.0012739079213738291,-0.2790516856991516,-0.3346072412547072,0.013877607230141309,-0.014848568554858,0.09872609207862615,0.24872609207862617,-0.04652277669965438,0.1653927587452928,0.011546604899138946,0.07215266550519961,-0.00409876667843595,-0.15433513241116975,-0.06884147548894137,-0.13090353755100348,-0.09143784234760333,-0.05351271389152307,-0.019792426439892374,0.0320594254119595,0.12372609207862617,-0.09502390792137383,0.18054427389680794,-0.011477989554026902,-0.04532985197731787,0.014599107951642099,-0.05809208973955565,-0.08899320616698786,-0.5012739079213738,0.044180637533171585,0.49872609207862617,-0.07444463962869091,0.0506292062654774,-0.07270247934994528,-0.0012739079213738291,0.08133478773080005,-0.16794057458804051,0.1653927587452928,0.49872609207862617,-0.0467284533759193,0.1653927587452928,0.06948080905975829,-0.035686863386960865,-0.07819698484445076,-0.03750579197934484,-0.023728997741733093,-0.0012739079213738291,0.1653927587452928,-0.25127390792137383,-0.1012739079213738,0.012930637533171585,0.09872609207862615,0.2987260920786262,0.048726092078626215,0.022535615888150007,-0.03112465419003052,-0.008030664678130572,0.21301180636434047,-0.0547090224251906,-0.09218299883046471,0.24872609207862617,-0.0012739079213738291,-0.07559823224569817,-0.5012739079213738,0.031265774618308706,-0.16794057458804051,0.01679838123525268,-0.06706338160558434,0.05341359207862617,-0.011221551900431448,-0.12627390792137383,-0.0006823177763755569,-0.022169558832918546,0.3944658944658944,-0.010340893184180189,0.0007301627803590338,-0.009817566648630593,-0.026272876344210105,-0.06247977289593426,-0.03155007767039397,-0.11000123212189707,-0.027674745503088627,-0.05103335959614369,-0.010072501757489138,0.061154756079982,0.012878894011016495,0.03806549786749841,-0.0853515486820435,-0.054494217434798264,0.04055871036908887,0.002675922326385749,0.008621789532018198,-0.012722138238727088,-0.09828445332401467,,-0.17192243196297757,0.13108944393712446,0.015791398023918046,-0.09778364278715071,,
Ahri,0.005545305473971696,-0.4649122807017547,0.03340686328855835,0.02016178348013739,-0.009985554498215032,-0.017350807907601462,-0.015636848126713954,-0.008882025567012952,-0.054899288445248995,0.03631660221181954,0.01828195302750696,0.00045331676060977877,0.010787634008942198,0.020272031389153428,0.022220693549793613,-0.040350740602885016,-0.029304061827842603,-0.011477989554026902,0.012594763668111464,0.052260147227814774,-0.034208978173501714,-0.15335691709213053,0.031056530500575386,-0.03964711210317606,-0.014473006993724669,-0.01730431870929111,-0.005427199193436455,-0.10735025414350718,0.011370893672571297,-0.03408837255996999,-0.008875147325577898,-0.12265054886996091,-0.04772796846835037,0.012701368033263494,0.05906544315631657,0.022951422641275615,0.1397325521495304,0.03496734695401371,-0.06767301545016383,0.5350877192982453,-0.004666425655321493,-0.005689154896084653,0.01291445195493826,0.1462377734303788,-0.07061231765664544,-0.0701754385964916,0.26571199894358266,0.0031472737406403883,-0.013070336832755436,-0.02755496455871842,-0.02731629119081419,-0.026547675054762743,-0.02265305337349674,-0.12892980288478761,0.03963190150847967,-0.056404467711142825,0.03702106572104408,-0.005583757582075133,0.04545485129931298,-0.0469270617973781,0.019397195634777042,0.005284106815819811,0.09749074442914685,0.0026597968211363454,-0.011858833243020395,0.01301303844426499,-0.007254448343970987,-0.039930314046368154,0.056982664983947356,0.06594678293088241,0.017230509405544603,0.05580743335136945,0.054198399348622,0.014927498242510884,0.060779057109789036,-0.040489398957964856,0.10820379681096043,0.01767038413796157,0.02988496644570543,-0.2124472348921545,-0.0058459356421539654,0.013290659698094509,0.03255903844652275,0.019397195634777042,-0.03328112807566355,-0.03242901667771125,-0.030272167375108405,0.0058074333513694065,0.04545485129931298,-0.07540249261649715,-0.006261801513614718,0.033869894552405605,0.27561656453579597,0.010607609949082386,0.022430742799344594,-0.0420145631053645,0.00780820474660715,0.21301180636434047,-0.010902791996653477,0.04448890269029232,0.16707389417224192,-0.009607904600238193,0.002184772508767252,-0.2917078667435336,0.0005548910499943993,-0.0058459356421539654,0.00771250693385378,-0.06928018385342083,-0.013620366681964313,0.000855997759240279,-0.06945907762607723,-0.0006823177763755569,-0.022169558832918546,0.3944658944658944,-0.010340893184180189,0.0007301627803590338,-0.009817566648630593,-0.026272876344210105,-0.06247977289593426,-0.03155007767039397,-0.11000123212189707,-0.027674745503088627,-0.05103335959614369,-0.010072501757489138,0.061154756079982,0.012878894011016495,0.03806549786749841,-0.0853515486820435,-0.054494217434798264,0.04055871036908887,0.002675922326385749,0.008621789532018198,-0.012722138238727088,-0.09828445332401467,,-0.17192243196297757,0.13108944393712446,0.015791398023918046,-0.09778364278715071,,
Akali,0.005545305473971696,0.09193974436840575,0.5347612241580695,0.02016178348013739,-0.009985554498215032,-0.06379770533240907,-0.015636848126713954,-0.008882025567012952,-0.4652387758419305,-0.41848459493921525,0.01828195302750696,0.00045331676060977877,0.010787634008942198,0.020272031389153428,0.022220693549793613,-0.040350740602885016,-0.27452567468106825,-0.011477989554026902,0.35880999439140954,0.052260147227814774,0.1112366452179076,-0.15335691709213053,0.031056530500575386,-0.03964711210317606,-0.14376920064101206,0.311614661887455,-0.005427199193436455,-0.10735025414350718,0.011370893672571297,-0.03408837255996999,-0.008875147325577898,-0.12265054886996091,-0.04772796846835037,0.012701368033263494,0.05906544315631657,0.022951422641275615,0.1397325521495304,0.03496734695401371,-0.06767301545016383,0.058672281118166955,-0.07535147763906741,-0.005689154896084653,0.01291445195493826,0.1462377734303788,-0.07061231765664544,0.09389906967369342,0.26571199894358266,0.0031472737406403883,0.03344427946974633,-0.02755496455871842,-0.02731629119081419,-0.026547675054762743,-0.2680106308525915,-0.12892980288478761,0.03963190150847967,-0.056404467711142825,0.03702106572104408,-0.005583757582075133,0.04545485129931298,-0.0469270617973781,0.019397195634777042,0.005284106815819811,0.09749074442914685,0.0026597968211363454,0.09232582406601834,0.01301303844426499,-0.007254448343970987,-0.039930314046368154,0.056982664983947356,0.06594678293088241,0.017230509405544603,0.05580743335136945,0.09226780888151112,0.014927498242510884,0.060779057109789036,-0.040489398957964856,0.10820379681096043,0.01767038413796157,0.02988496644570543,-0.2124472348921545,-0.0058459356421539654,0.013290659698094509,0.2445217739272093,0.019397195634777042,-0.03328112807566355,-0.2885150325949752,-0.030272167375108405,0.0058074333513694065,0.04545485129931298,-0.07540249261649715,0.05408242636620657,0.033869894552405605,0.27561656453579597,0.010607609949082386,0.022430742799344594,-0.0420145631053645,0.00780820474660715,0.21301180636434047,-0.010902791996653477,0.04448890269029232,0.16707389417224192,-0.009607904600238193,0.002184772508767252,-0.2917078667435336,0.0005548910499943993,-0.0058459356421539654,-0.07488286309795798,-0.06928018385342083,-0.013620366681964313,-0.00499977790556725,-0.06945907762607723,-0.0006823177763755569,-0.022169558832918546,0.3944658944658944,-0.010340893184180189,0.0007301627803590338,-0.009817566648630593,-0.026272876344210105,-0.06247977289593426,-0.03155007767039397,-0.11000123212189707,-0.027674745503088627,-0.05103335959614369,-0.010072501757489138,0.061154756079982,0.012878894011016495,0.03806549786749841,-0.0853515486820435,-0.054494217434798264,0.04055871036908887,0.002675922326385749,0.008621789532018198,-0.012722138238727088,-0.09828445332401467,,-0.17192243196297757,0.13108944393712446,0.015791398023918046,-0.09778364278715071,,
Alistar,0.005545305473971696,-0.32087912087912085,-0.32087912087912085,0.4098901098901099,-0.009985554498215032,-0.32087912087912085,0.6791208791208792,-0.008882025567012952,-0.054899288445248995,0.012454212454212465,0.01828195302750696,0.00045331676060977877,-0.32087912087912085,0.020272031389153428,0.022220693549793613,0.6791208791208792,0.6791208791208792,-0.011477989554026902,0.012594763668111464,0.6791208791208792,-0.32087912087912085,-0.15335691709213053,0.031056530500575386,-0.03964711210317606,-0.014473006993724669,0.17912087912087915,-0.005427199193436455,-0.10735025414350718,0.011370893672571297,-0.32087912087912085,-0.008875147325577898,-0.12265054886996091,0.6791208791208792,-0.32087912087912085,0.05906544315631657,0.022951422641275615,0.1397325521495304,-0.32087912087912085,0.17912087912087915,-0.32087912087912085,-0.004666425655321493,-0.005689154896084653,0.01291445195493826,0.1462377734303788,-0.07061231765664544,0.009294740997335044,0.26571199894358266,-0.32087912087912085,-0.32087912087912085,-0.02755496455871842,-0.02731629119081419,-0.32087912087912085,-0.02265305337349674,-0.32087912087912085,0.03963190150847967,-0.056404467711142825,0.6791208791208792,-0.005583757582075133,-0.32087912087912085,-0.0469270617973781,0.019397195634777042,0.005284106815819811,0.09749074442914685,0.0026597968211363454,-0.011858833243020395,0.01301303844426499,-0.007254448343970987,-0.039930314046368154,0.056982664983947356,0.06594678293088241,0.017230509405544603,0.05580743335136945,0.054198399348622,0.014927498242510884,0.060779057109789036,-0.040489398957964856,0.10820379681096043,0.01767038413796157,0.02988496644570543,-0.2124472348921545,-0.0058459356421539654,0.013290659698094509,0.03255903844652275,-0.32087912087912085,-0.03328112807566355,0.17912087912087915,-0.32087912087912085,0.0058074333513694065,0.04545485129931298,-0.07540249261649715,-0.006261801513614718,0.033869894552405605,0.27561656453579597,0.010607609949082386,0.022430742799344594,-0.32087912087912085,0.17912087912087915,0.21301180636434047,0.17912087912087915,-0.32087912087912085,0.16707389417224192,-0.009607904600238193,0.002184772508767252,-0.2917078667435336,0.17912087912087915,-0.0058459356421539654,0.00771250693385378,0.3457875457875458,-0.32087912087912085,0.17912087912087915,-0.06945907762607723,-0.0006823177763755569,-0.022169558832918546,0.3944658944658944,-0.010340893184180189,0.0007301627803590338,-0.009817566648630593,-0.026272876344210105,-0.06247977289593426,-0.03155007767039397,-0.11000123212189707,-0.027674745503088627,-0.05103335959614369,-0.010072501757489138,0.061154756079982,0.012878894011016495,0.03806549786749841,-0.0853515486820435,-0.054494217434798264,0.04055871036908887,0.002675922326385749,0.008621789532018198,-0.012722138238727088,-0.09828445332401467,,-0.17192243196297757,0.13108944393712446,0.015791398023918046,-0.09778364278715071,,
Amumu,0.005545305473971696,0.039716784107400094,0.13495487934549533,0.02016178348013739,0.010305019401517734,0.039716784107400094,0.039716784107400094,-0.2936165492259333,0.1647167841074001,-0.16616556883377637,0.039716784107400094,0.00045331676060977877,0.13971678410740007,0.020272031389153428,-0.2102832158925999,-0.4602832158925999,0.15876440315501916,0.039716784107400094,0.2897167841074001,0.052260147227814774,0.1022167841074001,-0.15335691709213053,-0.2102832158925999,0.5397167841074001,0.23971678410740005,-0.04361654922593322,0.33971678410740014,-0.10735025414350718,-0.4602832158925999,0.039716784107400094,0.039716784107400094,-0.12265054886996091,0.5397167841074001,-0.4602832158925999,0.05906544315631657,0.039716784107400094,0.5397167841074001,0.039716784107400094,-0.1269498825592666,0.02119826558888155,0.1022167841074001,-0.4602832158925999,-0.4602832158925999,-0.4602832158925999,0.039716784107400094,0.0179776536726175,0.26571199894358266,0.0031472737406403883,0.07305011744073342,-0.02755496455871842,-0.4602832158925999,-0.2380609936703777,-0.1269498825592666,-0.4602832158925999,0.039716784107400094,-0.060283215892599884,0.13971678410740007,0.20638345077406672,0.20638345077406672,-0.4602832158925999,0.019397195634777042,-0.4602832158925999,0.039716784107400094,0.0026597968211363454,-0.04092837718292247,0.5397167841074001,-0.2102832158925999,-0.039930314046368154,0.056982664983947356,0.039716784107400094,-0.4602832158925999,0.039716784107400094,0.11114535553597149,0.5397167841074001,-0.4602832158925999,-0.4602832158925999,0.10820379681096043,0.2897167841074001,-0.4602832158925999,-0.4602832158925999,-0.0058459356421539654,-0.1269498825592666,0.22392731042318959,0.5397167841074001,-0.4602832158925999,0.10638345077406675,0.5397167841074001,-0.4602832158925999,0.04545485129931298,-0.07540249261649715,0.039716784107400094,-0.2102832158925999,0.27561656453579597,-0.4602832158925999,0.039716784107400094,-0.005737761347145376,0.1647167841074001,0.21301180636434047,-0.07933083494021897,0.5397167841074001,0.5397167841074001,0.039716784107400094,0.3174945618851779,-0.2917078667435336,-0.022783215892599906,0.5397167841074001,0.009104539209440932,-0.060283215892599884,0.5397167841074001,0.19685964125025723,0.13971678410740007,-0.0006823177763755569,-0.022169558832918546,0.3944658944658944,-0.010340893184180189,0.0007301627803590338,-0.009817566648630593,-0.026272876344210105,-0.06247977289593426,-0.03155007767039397,-0.11000123212189707,-0.027674745503088627,-0.05103335959614369,-0.010072501757489138,0.061154756079982,0.012878894011016495,0.03806549786749841,-0.0853515486820435,-0.054494217434798264,0.04055871036908887,0.002675922326385749,0.008621789532018198,-0.012722138238727088,-0.09828445332401467,,-0.17192243196297757,0.13108944393712446,0.015791398023918046,-0.09778364278715071,,
Anivia,0.005545305473971696,-0.27615768543326974,0.03340686328855835,0.02016178348013739,-0.009985554498215032,0.2695001642500038,-0.015636848126713954,-0.008882025567012952,0.5848250230070658,0.05375157667938223,0.01828195302750696,0.00045331676060977877,0.010787634008942198,0.020272031389153428,0.022220693549793613,-0.040350740602885016,-0.03010212537235729,-0.011477989554026902,0.012594763668111464,0.052260147227814774,-0.034208978173501714,-0.15335691709213053,0.031056530500575386,-0.03964711210317606,-0.04459535782574437,-0.01730431870929111,-0.005427199193436455,-0.10735025414350718,0.011370893672571297,-0.03408837255996999,-0.008875147325577898,-0.12265054886996091,-0.04772796846835037,0.012701368033263494,0.05906544315631657,0.022951422641275615,0.1397325521495304,0.03496734695401371,-0.06767301545016383,0.23077605878861013,0.12751177755822735,-0.005689154896084653,0.01291445195493826,0.1462377734303788,-0.07061231765664544,-0.0036617688695564305,0.26571199894358266,0.0031472737406403883,-0.25327525947880986,-0.02755496455871842,-0.02731629119081419,-0.026547675054762743,0.013921068204806097,-0.12892980288478761,0.03963190150847967,-0.056404467711142825,0.03702106572104408,-0.005583757582075133,0.04545485129931298,-0.0469270617973781,0.019397195634777042,0.005284106815819811,0.09749074442914685,0.0026597968211363454,-0.14097535364076838,0.01301303844426499,-0.007254448343970987,-0.039930314046368154,0.056982664983947356,0.06594678293088241,0.017230509405544603,0.05580743335136945,0.054198399348622,0.014927498242510884,0.060779057109789036,-0.040489398957964856,0.10820379681096043,0.01767038413796157,0.02988496644570543,-0.2124472348921545,-0.0058459356421539654,0.013290659698094509,0.4130071433128153,0.019397195634777042,-0.03328112807566355,-0.4151749769929341,-0.030272167375108405,0.0058074333513694065,0.04545485129931298,-0.07540249261649715,-0.0126326041115782,0.033869894552405605,0.27561656453579597,0.010607609949082386,0.022430742799344594,-0.0420145631053645,0.00780820474660715,0.21301180636434047,-0.010902791996653477,0.04448890269029232,0.16707389417224192,-0.009607904600238193,0.002184772508767252,-0.2917078667435336,0.0005548910499943993,-0.0058459356421539654,-0.32836224445882917,-0.06928018385342083,-0.013620366681964313,-0.18835543561706178,-0.06945907762607723,-0.0006823177763755569,-0.022169558832918546,0.3944658944658944,-0.010340893184180189,0.0007301627803590338,-0.009817566648630593,-0.026272876344210105,-0.06247977289593426,-0.03155007767039397,-0.11000123212189707,-0.027674745503088627,-0.05103335959614369,-0.010072501757489138,0.061154756079982,0.012878894011016495,0.03806549786749841,-0.0853515486820435,-0.054494217434798264,0.04055871036908887,0.002675922326385749,0.008621789532018198,-0.012722138238727088,-0.09828445332401467,,-0.17192243196297757,0.13108944393712446,0.015791398023918046,-0.09778364278715071,,
Annie,0.005545305473971696,-0.026140252307183365,-0.004920093155989735,0.02016178348013739,-0.0876787138456449,0.012321286154355071,-0.15434538051231161,0.21232128615435503,-0.32101204717897824,0.04173305086023743,-0.48767871384564493,-0.15434538051231161,-0.11267871384564493,0.020272031389153428,-0.48767871384564493,-0.1833308877586884,-0.20196442813135923,-0.0876787138456449,0.1277059015389705,0.5123212861543551,-0.10131507748200858,-0.15335691709213053,0.012321286154355071,-0.23767871384564493,-0.006197232364163474,0.057775831608900485,-0.05910728527421638,-0.48767871384564493,-0.48767871384564493,-0.15434538051231161,-0.06252901324684251,-0.12265054886996091,-0.04772796846835037,-0.32101204717897824,0.05906544315631657,0.022951422641275615,-0.48767871384564493,0.26232128615435507,-0.0876787138456449,0.11232128615435505,0.012321286154355071,0.13732128615435507,0.01291445195493826,0.5123212861543551,0.11232128615435505,-0.05524628141321247,0.26571199894358266,0.0031472737406403883,0.029562665464699933,0.012321286154355071,-0.11267871384564493,0.4408927147257837,-0.06662608226669758,-0.05910728527421638,0.34565461948768844,-0.23767871384564493,0.21232128615435503,0.11232128615435505,0.5123212861543551,0.29009906393213286,0.012321286154355071,0.005284106815819811,-0.04323426940120051,0.13732128615435507,0.057775831608900485,0.03083980467287356,-0.23767871384564493,-0.039930314046368154,0.056982664983947356,0.06594678293088241,0.017230509405544603,-0.20196442813135923,0.03863707562803925,0.5123212861543551,-0.23767871384564493,0.012321286154355071,0.012321286154355071,-0.48767871384564493,0.02988496644570543,0.5123212861543551,-0.0058459356421539654,-0.23767871384564493,0.012321286154355071,0.012321286154355071,0.012321286154355071,-0.11032022327960717,0.5123212861543551,-0.48767871384564493,-0.48767871384564493,0.5123212861543551,-0.0331332593001904,0.11232128615435505,0.27561656453579597,0.5123212861543551,0.11232128615435505,0.15517842901149798,-0.23767871384564493,0.012321286154355071,-0.11267871384564493,-0.0876787138456449,0.4012101750432439,-0.009607904600238193,0.22660700044006937,-0.2917078667435336,0.031552055385124345,-0.0058459356421539654,0.08155205538512428,-0.20196442813135923,0.11232128615435505,0.13301094132676888,0.1789879528210217,-0.0006823177763755569,-0.022169558832918546,0.3944658944658944,-0.010340893184180189,0.0007301627803590338,-0.009817566648630593,-0.026272876344210105,-0.06247977289593426,-0.03155007767039397,-0.11000123212189707,-0.027674745503088627,-0.05103335959614369,-0.010072501757489138,0.061154756079982,0.012878894011016495,0.03806549786749841,-0.0853515486820435,-0.054494217434798264,0.04055871036908887,0.002675922326385749,0.008621789532018198,-0.012722138238727088,-0.09828445332401467,,-0.17192243196297757,0.13108944393712446,0.015791398023918046,-0.09778364278715071,,
Ashe,0.005545305473971696,0.08209663541533263,0.14775320107189838,-0.4633579100392128,-0.4633579100392128,-0.1133579100392128,0.1366420899607872,0.16164208996078722,-0.21335791003921278,-0.0018194485007512196,-0.4633579100392128,0.036642089960787216,0.0921976455163428,-0.4633579100392128,-0.13002457670587947,0.036642089960787216,0.036642089960787216,-0.06335791003921276,-0.018913465594768364,0.036642089960787216,-0.034786481467784236,-0.4633579100392128,0.036642089960787216,0.5366420899607872,0.314419867738565,-0.1133579100392128,0.16164208996078722,-0.10735025414350718,0.5366420899607872,-0.08835791003921278,-0.05159320415685986,-0.12265054886996091,0.5366420899607872,0.5366420899607872,0.05906544315631657,-0.29669124337254615,0.1397325521495304,0.5366420899607872,-0.034786481467784236,0.101859481265135,-0.13002457670587947,-0.13002457670587947,0.20330875662745385,0.1462377734303788,0.20330875662745385,0.15202670534540264,0.26571199894358266,0.0031472737406403883,-0.19669124337254612,0.036642089960787216,0.5366420899607872,-0.13002457670587947,0.0033087566274538904,-0.4633579100392128,0.036642089960787216,0.23664208996078717,0.036642089960787216,-0.4633579100392128,0.036642089960787216,-0.21335791003921278,0.036642089960787216,0.005284106815819811,-0.4633579100392128,0.0026597968211363454,0.05838122039556981,0.5366420899607872,0.036642089960787216,-0.039930314046368154,0.056982664983947356,0.5366420899607872,0.017230509405544603,0.036642089960787216,0.36272904648252635,0.014927498242510884,0.5366420899607872,0.5366420899607872,-0.4633579100392128,0.2866420899607872,-0.4633579100392128,-0.4633579100392128,-0.0058459356421539654,0.33664208996078726,0.1228489865125113,0.019397195634777042,0.036642089960787216,-0.15566560234690507,-0.4633579100392128,0.036642089960787216,-0.13002457670587947,0.5366420899607872,0.08209663541533263,-0.29669124337254615,0.27561656453579597,0.20330875662745385,0.33664208996078726,-0.21335791003921278,0.2866420899607872,0.5366420899607872,-0.2490721957534985,-0.4633579100392128,0.036642089960787216,-0.4633579100392128,-0.4633579100392128,-0.2917078667435336,0.02149057480927208,-0.4633579100392128,0.0921976455163428,-0.4633579100392128,-0.4633579100392128,0.16997542329412052,-0.06945907762607723,-0.0006823177763755569,-0.022169558832918546,0.3944658944658944,-0.010340893184180189,0.0007301627803590338,-0.009817566648630593,-0.026272876344210105,-0.06247977289593426,-0.03155007767039397,-0.11000123212189707,-0.027674745503088627,-0.05103335959614369,-0.010072501757489138,0.061154756079982,0.012878894011016495,0.03806549786749841,-0.0853515486820435,-0.054494217434798264,0.04055871036908887,0.002675922326385749,0.008621789532018198,-0.012722138238727088,-0.09828445332401467,,-0.17192243196297757,0.13108944393712446,0.015791398023918046,-0.09778364278715071,,
AurelionSol,0.005545305473971696,-0.03777707408307208,0.03340686328855835,0.02016178348013739,-0.009985554498215032,-0.017350807907601462,-0.015636848126713954,-0.008882025567012952,0.31310011889938416,0.03631660221181954,0.01828195302750696,0.00045331676060977877,0.010787634008942198,0.020272031389153428,0.022220693549793613,-0.040350740602885016,-0.029304061827842603,-0.011477989554026902,0.012594763668111464,0.052260147227814774,-0.034208978173501714,-0.15335691709213053,0.031056530500575386,-0.03964711210317606,-0.13065633104901636,-0.01730431870929111,-0.005427199193436455,-0.10735025414350718,0.011370893672571297,-0.03408837255996999,-0.008875147325577898,-0.12265054886996091,-0.04772796846835037,0.012701368033263494,0.05906544315631657,0.022951422641275615,0.1397325521495304,0.03496734695401371,-0.06767301545016383,-0.5640928635567563,0.3265953955525555,-0.005689154896084653,0.01291445195493826,0.1462377734303788,-0.07061231765664544,0.43590713644324375,0.26571199894358266,0.0031472737406403883,0.09380187328534884,-0.02755496455871842,-0.02731629119081419,-0.026547675054762743,-0.3009349688199141,-0.12892980288478761,0.03963190150847967,-0.056404467711142825,0.03702106572104408,-0.005583757582075133,0.04545485129931298,-0.0469270617973781,0.019397195634777042,0.005284106815819811,0.09749074442914685,0.0026597968211363454,-0.11296504400788418,0.01301303844426499,-0.007254448343970987,-0.039930314046368154,0.056982664983947356,0.06594678293088241,0.017230509405544603,0.05580743335136945,0.054198399348622,0.014927498242510884,0.060779057109789036,-0.040489398957964856,0.10820379681096043,0.01767038413796157,0.02988496644570543,-0.2124472348921545,-0.0058459356421539654,0.013290659698094509,0.31310011889938416,0.019397195634777042,-0.03328112807566355,-0.0887108601611705,-0.030272167375108405,0.0058074333513694065,0.04545485129931298,-0.07540249261649715,-0.03777707408307208,0.033869894552405605,0.27561656453579597,0.010607609949082386,0.022430742799344594,-0.0420145631053645,0.00780820474660715,0.21301180636434047,-0.010902791996653477,0.04448890269029232,0.16707389417224192,-0.009607904600238193,0.002184772508767252,-0.2917078667435336,0.0005548910499943993,-0.0058459356421539654,-0.0887108601611705,-0.06928018385342083,-0.013620366681964313,-0.1208795671578644,-0.06945907762607723,-0.0006823177763755569,-0.022169558832918546,0.3944658944658944,-0.010340893184180189,0.0007301627803590338,-0.009817566648630593,-0.026272876344210105,-0.06247977289593426,-0.03155007767039397,-0.11000123212189707,-0.027674745503088627,-0.05103335959614369,-0.010072501757489138,0.061154756079982,0.012878894011016495,0.03806549786749841,-0.0853515486820435,-0.054494217434798264,0.04055871036908887,0.002675922326385749,0.008621789532018198,-0.012722138238727088,-0.09828445332401467,,-0.17192243196297757,0.13108944393712446,0.015791398023918046,-0.09778364278715071,,
Azir,0.005545305473971696,-0.030199246554596413,0.03340686328855835,0.02016178348013739,-0.009985554498215032,-0.017350807907601462,-0.015636848126713954,-0.008882025567012952,0.4850211078297743,-0.3256205197132618,0.01828195302750696,0.00045331676060977877,0.010787634008942198,0.020272031389153428,0.022220693549793613,-0.040350740602885016,-0.10652818794487373,-0.011477989554026902,0.012594763668111464,0.052260147227814774,-0.034208978173501714,-0.15335691709213053,0.031056530500575386,-0.03964711210317606,-0.5149788921702257,-0.01730431870929111,-0.005427199193436455,-0.10735025414350718,0.011370893672571297,-0.03408837255996999,-0.008875147325577898,-0.12265054886996091,-0.04772796846835037,0.012701368033263494,0.05906544315631657,0.022951422641275615,0.1397325521495304,0.03496734695401371,-0.06767301545016383,0.2720633613509009,0.156382610177192,-0.005689154896084653,0.01291445195493826,0.1462377734303788,-0.07061231765664544,-0.20511973724064828,0.26571199894358266,0.0031472737406403883,-0.20511973724064828,-0.02755496455871842,-0.02731629119081419,-0.026547675054762743,0.03588182770457873,-0.12892980288478761,0.03963190150847967,-0.056404467711142825,0.03702106572104408,-0.005583757582075133,0.04545485129931298,-0.0469270617973781,0.019397195634777042,0.005284106815819811,0.09749074442914685,0.0026597968211363454,0.06600702332273198,0.01301303844426499,-0.007254448343970987,-0.039930314046368154,0.056982664983947356,0.06594678293088241,0.017230509405544603,0.05580743335136945,0.054198399348622,0.014927498242510884,0.060779057109789036,-0.040489398957964856,0.10820379681096043,0.01767038413796157,0.02988496644570543,-0.2124472348921545,-0.0058459356421539654,0.013290659698094509,0.39738417512241897,0.019397195634777042,-0.03328112807566355,-0.1617394555505074,-0.030272167375108405,0.0058074333513694065,0.04545485129931298,-0.07540249261649715,0.1853027979706194,0.033869894552405605,0.27561656453579597,0.010607609949082386,0.022430742799344594,-0.0420145631053645,0.00780820474660715,0.21301180636434047,-0.010902791996653477,0.04448890269029232,0.16707389417224192,-0.009607904600238193,0.002184772508767252,-0.2917078667435336,0.0005548910499943993,-0.0058459356421539654,0.2768833926498055,-0.06928018385342083,-0.013620366681964313,-0.3256205197132618,-0.06945907762607723,-0.0006823177763755569,-0.022169558832918546,0.3944658944658944,-0.010340893184180189,0.0007301627803590338,-0.009817566648630593,-0.026272876344210105,-0.06247977289593426,-0.03155007767039397,-0.11000123212189707,-0.027674745503088627,-0.05103335959614369,-0.010072501757489138,0.061154756079982,0.012878894011016495,0.03806549786749841,-0.0853515486820435,-0.054494217434798264,0.04055871036908887,0.002675922326385749,0.008621789532018198,-0.012722138238727088,-0.09828445332401467,,-0.17192243196297757,0.13108944393712446,0.015791398023918046,-0.09778364278715071,,
