,Aatrox,Annie,Ashe,Bard,Blitzcrank,Brand,Braum,Caitlyn,Camille,Chogath,Corki,Darius,DrMundo,Draven,Ezreal,Fiddlesticks,Garen,Gragas,Hecarim,Heimerdinger,Ivern,JarvanIV,Jax,Jayce,Jhin,Jinx,Kaisa,Kalista,Karma,Kayle,Kayn,Kennen,Kindred,Kled,KogMaw,Lucian,Lulu,Lux,Malphite,Maokai,MasterYi,MissFortune,MonkeyKing,Mordekaiser,Morgana,Nautilus,Nidalee,Nunu,Ornn,Pantheon,Poppy,Pyke,Quinn,Rammus,Renekton,Rengar,Riven,Rumble,Shen,Singed,Sivir,Sona,Soraka,Swain,TahmKench,Taliyah,Teemo,Tristana,Twitch,Urgot,Varus,Vayne,Veigar,Velkoz,Vi,Viktor,Volibear,Warwick,Xayah,Xerath,Zac,Ziggs,Zilean,Zyra,Ahri,Akali,Alistar,Amumu,Anivia,AurelionSol,Azir,Cassiopeia,Diana,Ekko,Elise,Fizz,Galio,Gangplank,Gnar,Graves,Illaoi,Irelia,Janna,Karthus,Katarina,Khazix,LeeSin,Leona,Lissandra,Malzahar,Nasus,Nocturne,Olaf,Orianna,Ryze,Sejuani,Shaco,Shyvana,Sion,Skarner,Syndra,Talon,Taric,Thresh,Trundle,Tryndamere,TwistedFate,Vladimir,XinZhao,Yasuo,Yorick,Zed,Zoe,Udyr,Rakan,Evelynn,Fiora,Kassadin,Leblanc,Nami,RekSai
Aatrox,-0.0693939025944279,0.1606530457623796,-0.031013620904287054,-0.506013620904287,-0.506013620904287,0.18629407140340526,0.49398637909571297,0.03944092455025838,0.293986379095713,-0.0060136209042870314,-0.17268028757095372,0.49398637909571297,0.49398637909571297,-0.06765745652072541,0.007499892609226455,-0.10601362090428701,-0.506013620904287,-0.11712473201539814,0.1606530457623796,-0.09424891502193411,-0.506013620904287,0.49398637909571297,-0.17268028757095372,-0.23328634817701432,-0.030561424521858116,-0.022142653162351533,-0.004160396293464208,-0.02387076376142988,-0.506013620904287,0.49398637909571297,0.49398637909571297,0.49398637909571297,-0.506013620904287,-0.25601362090428703,0.14104520262512477,-0.0488707637614299,0.11898637909571297,0.04954193465126855,0.04954193465126855,-0.17268028757095372,0.1606530457623796,-0.013402783465863377,0.1606530457623796,-0.0060136209042870314,-0.17268028757095372,-0.506013620904287,-0.506013620904287,0.24398637909571297,0.1606530457623796,-0.0060136209042870314,0.24398637909571297,-0.0060136209042870314,0.35112923623857006,0.49398637909571297,-0.506013620904287,-0.17268028757095372,0.49398637909571297,-0.506013620904287,0.293986379095713,-0.0060136209042870314,-0.04768028757095372,-0.506013620904287,-0.506013620904287,-0.0060136209042870314,-0.17268028757095372,0.09398637909571295,0.03944092455025838,-0.008526183718357394,0.016713651822985676,0.49398637909571297,0.018215453985580776,0.00342034135986391,-0.0514681663588325,-0.0514681663588325,0.49398637909571297,0.03944092455025838,0.24398637909571297,-0.506013620904287,0.012234554278194754,-0.506013620904287,0.49398637909571297,-0.10601362090428701,-0.17268028757095372,0.49398637909571297,-0.11619666616011665,0.05395524102874283,-0.4138732542419179,-0.01298992810903743,0.09712700923824402,-0.002391287939211617,0.05542073488578164,0.029803983561001945,-0.001457106741172276,0.03642105665146084,0.2363343260219971,0.004598999824279415,0.05250525377830306,-0.4724100528778606,-0.005085555049005541,0.03881037910719062,0.1296681700821798,-0.02788657734178457,-0.0857899892213824,-0.05468853389051881,0.07014050235318192,0.40590107982964846,0.3468867068540271,0.148289070472308,0.12447954666278427,-0.015267195735003458,-0.014035500096119424,-0.012112634939412836,0.06168787714392926,-0.015131285654708976,0.027193465625294122,0.04053632918158151,0.09926406014801586,0.1296681700821798,0.11878008932488204,0.20654899996394932,0.02269222272877225,-0.04336674814631514,-0.013766713747260462,0.12265962049945467,-0.0414560317993552,0.13879367590491065,0.03496151106639683,0.010159641732835123,0.48162240380564136,-0.02385688610702602,-0.018377596194358636,-0.050304363320235884,-0.009305791738192015,0.08192227843724653,0.1855130973867689,,,0.016876481470915916,-0.010206031799355197,,-0.005085555049005541
Ahri,-0.005085555049005541,-0.1384188883823389,-0.013465443317161985,0.20920015923670876,-0.10508555504900552,0.01991444495099448,0.49491444495099446,-0.009069618794025458,0.03545498549153503,-0.13008555504900554,0.05047000050655004,-0.5050855550490055,-0.25508555504900554,-0.031884942491578305,0.016020704048519963,0.11991444495099446,0.28062873066528016,0.1549144449509945,-0.10508555504900552,-0.0574665074299579,0.49491444495099446,0.05047000050655004,0.02123023442467864,-0.08084313080658129,-0.031681299729856616,-0.06453974608214397,-0.02236197781323318,-0.005085555049005541,0.0858235358600854,0.09491444495099444,-0.17175222171567223,0.20920015923670876,0.1615811116176611,-0.1414491914126419,-0.01508555504900555,-0.04023953529304969,-0.3384188883823389,0.06309626313281269,0.024326209656876818,-0.08841888838233886,0.09491444495099444,-0.0805416081169989,-0.07326737323082372,-0.005085555049005541,-0.06758555504900554,-0.17175222171567223,0.11029906033560988,-0.005085555049005541,-0.17175222171567223,-0.17175222171567223,0.11029906033560988,-0.18929608136479503,-0.08084313080658129,0.09491444495099444,0.49491444495099446,-0.1347151846786352,-0.21937126933471984,0.1615811116176611,-0.23841888838233888,-0.05054010050355101,-0.05698428922622073,-0.3384188883823389,-0.25508555504900554,-0.076514126477577,-0.005085555049005541,-0.210967907990182,-0.1204701704336209,0.005552742823334844,-0.03360266531516526,-0.005085555049005541,-0.021279887032811196,-0.0009119323444980454,-0.12508555504900554,-0.045626095589546056,-0.10508555504900552,0.014914444950994477,-0.1414491914126419,0.20920015923670876,-0.025346992957502257,-0.21937126933471984,0.06634301637956586,-0.06758555504900554,0.03658111161766109,-0.13666450241742661,-0.11619666616011665,0.04393405279413176,0.1615811116176611,-0.005085555049005541,0.11991444495099446,-0.03841888838233887,0.12454407458062411,0.02123023442467864,-0.0840329234700582,-0.08648090388621482,-0.30508555504900553,0.007734957771507234,0.01104347720905896,0.49491444495099446,-0.005085555049005541,-0.21937126933471984,-0.30508555504900553,0.028749031417159898,-0.5050855550490055,-0.02508555504900556,0.07824777828432783,0.49491444495099446,0.49491444495099446,-0.05054010050355101,-0.06758555504900554,0.1615811116176611,-0.17175222171567223,0.1615811116176611,0.3130962631328127,-0.14571055504900554,0.1615811116176611,0.49491444495099446,0.3130962631328127,0.1312780813146308,0.2949144449509945,-0.005085555049005541,0.02269222272877225,-0.045626095589546056,-0.005085555049005541,-0.25508555504900554,-0.005085555049005541,-0.005085555049005541,0.03658111161766109,-0.011579061542512037,0.49491444495099446,-0.02385688610702602,-0.005085555049005541,-0.09767814764159816,-0.05827704441070769,0.08192227843724653,0.1855130973867689,,,0.016876481470915916,-0.010206031799355197,,-0.005085555049005541
Akali,-0.013704015864181684,0.03291603075586491,-0.0010707580785692672,0.45599295383278804,-0.04400704616721196,0.04974295383278804,-0.04400704616721196,-0.013394801269252743,-0.12093012309028889,-0.15511815727832307,0.0671040649438992,0.05599295383278802,-0.16900704616721196,-0.07361787527042685,-0.006421624754911259,-0.24400704616721197,0.08099295383278804,-0.03751353967370552,-0.34400704616721195,-0.03474778690795266,-0.21067371283387865,-0.04400704616721196,-0.12295441458826462,-0.02787801390914746,-0.019500828171601148,-0.05336255552272129,-0.03771901371285091,-0.06400704616721198,0.05599295383278802,0.005992953832788084,0.05599295383278802,0.17027866811850234,-0.21067371283387865,0.2893262871661214,-0.018583317353652595,-0.060893977151059264,-0.010673712833878635,-0.09719853552891411,-0.07341881087309432,0.155992953832788,0.07137756921740346,-0.016096360361789297,-0.0824685846287504,0.04219985038451213,-0.04400704616721196,0.2559929538327881,0.20599295383278804,0.1516451277458315,0.12265962049945467,0.021210345137135822,-0.04400704616721196,0.07504057288040711,-0.11218886434903014,-0.21067371283387865,0.45599295383278804,-0.08946159162175743,0.12265962049945467,-0.14400704616721194,0.021210345137135822,-0.29400704616721196,-0.04488888038237954,-0.04400704616721196,-0.544007046167212,-0.04905755121771699,0.08099295383278804,-0.04400704616721196,0.06889617963923966,-0.025989028149193905,-0.05545742784660129,-0.04400704616721196,0.0025446779707191114,-0.011248425477556778,-0.08368958584975167,-0.1511499033100691,-0.14400704616721194,0.01154850938834362,0.20599295383278804,0.05599295383278802,-0.02242011501201946,0.13341230867149767,0.45599295383278804,-0.06673431889448467,0.0671040649438992,-0.09956260172276754,-0.11619666616011665,0.08326568110551535,0.45599295383278804,0.01849295383278804,0.09712700923824402,-0.002391287939211617,0.05542073488578164,0.029803983561001945,-0.001457106741172276,0.03642105665146084,-0.04400704616721196,0.004598999824279415,0.05250525377830306,-0.544007046167212,-0.005085555049005541,0.08099295383278804,0.20599295383278804,-0.004681203470582762,-0.0857899892213824,0.0014474992873334536,0.07014050235318192,0.40590107982964846,0.3468867068540271,0.45599295383278804,0.12447954666278427,-0.015267195735003458,0.05599295383278802,0.0014474992873334536,-0.04400704616721196,-0.015131285654708976,0.027193465625294122,-0.04400704616721196,-0.11543561759578341,0.027421525261359436,0.20599295383278804,0.20654899996394932,0.02269222272877225,-0.04336674814631514,0.17027866811850234,0.12265962049945467,-0.21067371283387865,0.45599295383278804,0.03496151106639683,-0.011748981651082957,0.48162240380564136,-0.0639185505919907,-0.018377596194358636,-0.050304363320235884,-0.009305791738192015,-0.544007046167212,0.1855130973867689,,,0.016876481470915916,-0.010206031799355197,,-0.005085555049005541
Alistar,-0.008121206621113874,-0.5033598585322723,-0.5033598585322723,0.044978125148078585,0.03380328679197539,0.0033008670217069824,0.1104569406709669,-0.5033598585322723,-0.033213197211349244,-0.027437297299138297,0.4966401414677277,-0.0829834946409487,-0.08920632936630368,-0.030938611710536357,-0.2533598585322723,0.4966401414677277,-0.05333947850395204,0.4966401414677277,0.03540526800112326,-0.05896687114980095,0.25299666203749294,0.045142476068383064,-0.043721461879044465,-0.027583524915468116,-0.17002652519893896,0.24664014146772772,0.0966401414677277,-0.003359858532272275,0.02542223370746194,0.4966401414677277,-0.02397268116438711,0.4966401414677277,-0.1216885415185881,-0.11811464538468633,-0.045216028791469465,0.16330680813439435,0.040265127923834854,-0.003359858532272275,0.03928943050428871,-0.14815661011923797,0.08650096089135773,-0.003359858532272275,-0.01647280522505451,-0.021618702622119734,-0.06903500539470592,-0.008350175358788126,0.10692227843724655,0.1450479640445469,0.12769740719899458,-0.015431029417050712,-0.01626682102559701,-0.015737782979792114,-0.014568014255750383,0.22212700923824402,0.03512080807733514,0.4966401414677277,-0.1615728241298802,0.008238067910930735,-0.00942503888024615,0.033140879074428475,-0.003359858532272275,-0.5033598585322723,0.044978125148078585,0.16330680813439435,0.13919646433245755,-0.024199501904212106,-0.5033598585322723,0.021358846858933078,0.4966401414677277,-0.005085555049005541,0.16330680813439435,0.0966401414677277,-0.03976726816873877,-0.5033598585322723,-0.001457106741172276,0.03148496608651105,0.033140879074428475,0.04053632918158151,-0.17002652519893896,-0.06795951111214421,-0.5033598585322723,-0.10191694360203815,0.03821510406467765,-0.05959319377595962,-0.11619666616011665,0.05395524102874283,0.22740937223695845,-0.01298992810903743,0.09712700923824402,-0.002391287939211617,0.05542073488578164,0.029803983561001945,-0.001457106741172276,0.03642105665146084,0.2363343260219971,0.004598999824279415,0.05250525377830306,-0.4724100528778606,-0.005085555049005541,0.03881037910719062,0.1296681700821798,-0.02788657734178457,-0.0857899892213824,-0.05468853389051881,0.07014050235318192,0.40590107982964846,0.3468867068540271,0.148289070472308,0.12447954666278427,-0.015267195735003458,-0.014035500096119424,-0.012112634939412836,0.06168787714392926,-0.015131285654708976,0.027193465625294122,0.04053632918158151,0.09926406014801586,0.1296681700821798,0.11878008932488204,0.20654899996394932,0.02269222272877225,-0.04336674814631514,-0.013766713747260462,0.12265962049945467,-0.0414560317993552,0.13879367590491065,0.03496151106639683,0.010159641732835123,0.48162240380564136,-0.02385688610702602,-0.018377596194358636,-0.050304363320235884,-0.009305791738192015,0.08192227843724653,-0.5033598585322723,,,0.016876481470915916,-0.010206031799355197,,-0.005085555049005541
Amumu,0.46900492822923256,0.2690049282292326,-0.1625740191391885,0.044978125148078585,0.46900492822923256,-0.030995071770767435,0.1104569406709669,-0.11432840510410075,-0.5309950717707674,-0.5309950717707674,0.04642723630447615,-0.5309950717707674,0.46900492822923256,-0.21099507177076743,0.04678270600701029,-0.030995071770767435,-0.19766173843743412,-0.5309950717707674,0.03540526800112326,-0.030995071770767435,0.25299666203749294,0.46900492822923256,-0.043721461879044465,0.46900492822923256,-0.14075116933174303,0.09400492822923256,-0.11164023306109,0.1356715948958992,-0.3087728495485452,0.46900492822923256,-0.02397268116438711,-0.01601752330098588,-0.1216885415185881,0.46900492822923256,0.1356715948958992,-0.004113351340659932,0.21900492822923256,-0.3309950717707674,-0.5309950717707674,-0.19766173843743412,-0.030995071770767435,-0.030995071770767435,0.06900492822923254,0.46900492822923256,-0.030995071770767435,-0.008350175358788126,0.46900492822923256,0.46900492822923256,0.12769740719899458,-0.030995071770767435,-0.030995071770767435,-0.030995071770767435,-0.030995071770767435,0.46900492822923256,0.03512080807733514,-0.030995071770767435,-0.1615728241298802,-0.5309950717707674,0.46900492822923256,0.033140879074428475,0.04795229665028522,-0.030995071770767435,-0.030995071770767435,-0.0764496172253129,0.13919646433245755,-0.5309950717707674,-0.19766173843743412,0.11900492822923259,-0.25826779904349473,-0.005085555049005541,-0.09621246307511527,-0.17385221462791028,0.06900492822923254,0.46900492822923256,-0.001457106741172276,-0.030995071770767435,0.46900492822923256,0.46900492822923256,-0.07266173843743412,0.2690049282292326,0.03153360903634897,-0.030995071770767435,-0.030995071770767435,0.1356715948958992,-0.11619666616011665,0.05395524102874283,-0.4138732542419179,-0.060406836476649794,0.09712700923824402,-0.002391287939211617,0.05542073488578164,0.029803983561001945,-0.001457106741172276,0.03642105665146084,0.2363343260219971,0.004598999824279415,0.05250525377830306,-0.4724100528778606,-0.005085555049005541,-0.5309950717707674,0.1296681700821798,-0.02788657734178457,-0.030995071770767435,-0.05468853389051881,0.07014050235318192,0.40590107982964846,0.46900492822923256,-0.030995071770767435,0.12447954666278427,-0.015267195735003458,-0.5309950717707674,-0.012112634939412836,0.06168787714392926,-0.015131285654708976,0.027193465625294122,0.04053632918158151,-0.5309950717707674,0.1296681700821798,0.11878008932488204,0.20654899996394932,0.02269222272877225,-0.04336674814631514,-0.013766713747260462,-0.5309950717707674,-0.0414560317993552,0.13879367590491065,0.03496151106639683,0.010159641732835123,0.48162240380564136,-0.02385688610702602,-0.018377596194358636,-0.050304363320235884,-0.009305791738192015,0.08192227843724653,0.1855130973867689,,,0.016876481470915916,-0.010206031799355197,,-0.005085555049005541
Anivia,0.10499229001705246,-0.12577694075217832,0.03576152078628314,-0.510392325367563,-0.26039232536756296,-0.01039232536756296,0.1104569406709669,0.0031211881459505264,0.10499229001705246,-0.01039232536756296,0.34675053177529414,-0.0829834946409487,0.2896076746324371,-0.04956283228000535,-0.05509087006610763,-0.31039232536756295,-0.17705899203422965,0.028069213093975476,-0.510392325367563,-0.05584687082210843,0.48960767463243704,0.07294100796577041,0.08960767463243702,0.0190194393383194,-0.013778329882235651,-0.007247671279512646,-0.024780814576196075,-0.1467559617311993,0.38960767463243706,-0.510392325367563,0.48960767463243704,-0.13539232536756296,-0.1216885415185881,0.15627434129910367,-0.1280393841910924,-0.023403477783919824,0.04516323018799262,0.08960767463243702,-0.043725658700896286,-0.17705899203422965,0.039607674632437084,-0.09291659721222317,0.035062220086982454,-0.27509820772050414,-0.06594788092311854,-0.01039232536756296,-0.17705899203422965,0.15627434129910367,0.12769740719899458,0.06103624606100844,-0.01039232536756296,-0.17705899203422965,-0.01039232536756296,-0.17705899203422965,0.03512080807733514,0.05210767463243704,0.48960767463243704,0.23960767463243704,-0.08182089679613441,0.15627434129910367,-0.11174367671891433,-0.01039232536756296,-0.510392325367563,0.07627434129910371,0.08960767463243702,0.23960767463243704,-0.17705899203422965,0.030961058091083626,-0.005341820317057877,-0.005085555049005541,-0.057689622664860274,-0.03094027057304244,-0.06594788092311854,-0.01039232536756296,-0.01039232536756296,0.13246481748957994,-0.17705899203422965,-0.01039232536756296,-0.04046751333748777,-0.09862761948521004,-0.01039232536756296,0.041331812563471515,-0.06594788092311854,-0.01039232536756296,-0.11619666616011665,0.15627434129910367,-0.4138732542419179,-0.23766505264029025,0.17710767463243704,-0.002391287939211617,0.05542073488578164,0.029803983561001945,0.20389338891815134,0.1007187857435482,0.2363343260219971,0.004598999824279415,-0.20270001767525525,-0.4724100528778606,-0.005085555049005541,-0.510392325367563,0.15627434129910367,-0.11504348815826065,-0.510392325367563,0.11460767463243704,0.07014050235318192,0.48960767463243704,0.3468867068540271,-0.510392325367563,0.12447954666278427,-0.015267195735003458,0.04516323018799262,-0.01039232536756296,0.15627434129910367,-0.015131285654708976,0.1259713109960734,-0.01039232536756296,0.48960767463243704,0.23960767463243704,0.08960767463243702,0.20654899996394932,0.02269222272877225,-0.04336674814631514,-0.510392325367563,0.23960767463243704,0.08960767463243702,0.3229410079657704,0.03496151106639683,0.09425883742313468,0.48162240380564136,0.01044100796577041,-0.018377596194358636,-0.050304363320235884,-0.009305791738192015,0.48960767463243704,0.1855130973867689,,,0.016876481470915916,-0.010206031799355197,,-0.005085555049005541
Annie,-0.12442632264403708,-0.1910929893107038,0.29940787424715465,-0.024426322644037102,0.14224034402262953,0.03112923291151848,0.1104569406709669,-0.05634121626105837,-0.12442632264403708,-0.5244263226440371,0.4755736773559629,-0.0829834946409487,0.4755736773559629,-0.11221258218602181,-0.007897397024202446,-0.12442632264403708,-0.1910929893107038,-0.12442632264403708,-0.024426322644037102,-0.05383808734991946,0.4755736773559629,0.14224034402262953,-0.5244263226440371,-0.06988086809858257,-0.09247365992214363,-0.067636199187247,-0.15187730303619396,-0.16728346550117995,-0.2744263226440371,-0.09585489407260855,-0.02397268116438711,-0.024426322644037102,-0.1216885415185881,-0.5244263226440371,-0.04823584645356094,-0.09585489407260855,-0.024426322644037102,-0.3244263226440371,-0.1910929893107038,0.07557367735596288,0.2255736773559629,0.24106040301967968,-0.07998187819959268,-0.1910929893107038,0.4755736773559629,-0.008350175358788126,-0.024426322644037102,0.4755736773559629,0.12769740719899458,0.4755736773559629,-0.024426322644037102,-0.5244263226440371,-0.2387120369297514,0.14224034402262953,0.03512080807733514,-0.024426322644037102,-0.5244263226440371,0.4755736773559629,-0.1910929893107038,0.4755736773559629,-0.12819990754969746,-0.19846120363161623,-0.5244263226440371,-0.03423024421266457,-0.024426322644037102,-0.024426322644037102,-0.1910929893107038,0.02992150344291944,-0.03386028490818804,-0.005085555049005541,0.04849034402262953,-0.10775965597737042,-0.024426322644037102,0.2255736773559629,-0.001457106741172276,0.4755736773559629,0.4755736773559629,-0.5244263226440371,-0.07505923403644216,-0.12442632264403708,0.03153360903634897,-0.3994263226440371,0.4755736773559629,-0.5244263226440371,-0.11619666616011665,0.05395524102874283,-0.4138732542419179,0.4755736773559629,0.09712700923824402,-0.002391287939211617,0.05542073488578164,0.029803983561001945,-0.001457106741172276,0.03642105665146084,0.2363343260219971,0.004598999824279415,0.05250525377830306,-0.4724100528778606,-0.005085555049005541,0.03881037910719062,0.1296681700821798,-0.02788657734178457,-0.0857899892213824,-0.05468853389051881,0.07014050235318192,0.40590107982964846,0.3468867068540271,0.148289070472308,0.12447954666278427,-0.015267195735003458,0.4755736773559629,-0.012112634939412836,0.14224034402262953,-0.015131285654708976,0.027193465625294122,0.04053632918158151,-0.5244263226440371,0.4755736773559629,0.11878008932488204,0.20654899996394932,0.02269222272877225,-0.04336674814631514,-0.013766713747260462,0.14224034402262953,0.4755736773559629,-0.5244263226440371,0.03496151106639683,0.010159641732835123,0.48162240380564136,-0.02385688610702602,-0.018377596194358636,-0.050304363320235884,-0.009305791738192015,0.4755736773559629,0.4755736773559629,,,0.016876481470915916,-0.010206031799355197,,-0.005085555049005541
Ashe,-0.008121206621113874,0.029832807339402856,0.32433722901714335,0.044978125148078585,0.03380328679197539,0.0033008670217069824,0.1104569406709669,-0.2106278059478916,-0.033213197211349244,-0.027437297299138297,0.04642723630447615,-0.0829834946409487,-0.08920632936630368,-0.06648162954365065,-0.11932474281384259,-0.000836342252408584,-0.05333947850395204,0.001079965474679423,0.03540526800112326,-0.05896687114980095,0.25299666203749294,0.045142476068383064,-0.043721461879044465,-0.027583524915468116,-0.2768773458816421,-0.23160682692691256,-0.22803592973899411,0.6704910751709895,0.02542223370746194,0.09491444495099444,-0.02397268116438711,-0.01601752330098588,-0.1216885415185881,-0.11811464538468633,-0.045216028791469465,0.22049107517098956,0.040265127923834854,-0.01204622233214725,0.03928943050428871,-0.14815661011923797,0.08650096089135773,0.3518097564896707,-0.01647280522505451,-0.021618702622119734,-0.06903500539470592,-0.008350175358788126,0.10692227843724655,0.1450479640445469,0.12769740719899458,-0.015431029417050712,-0.01626682102559701,-0.015737782979792114,-0.014568014255750383,0.22212700923824402,0.03512080807733514,-0.07762427585430931,-0.1615728241298802,0.008238067910930735,-0.00942503888024615,0.033140879074428475,-0.22950892482901053,-0.19846120363161623,0.044978125148078585,-0.006863654303073563,0.13919646433245755,-0.024199501904212106,-0.07519072960712914,0.2551064597863741,-0.03823366308477483,-0.005085555049005541,-0.14221795492934503,0.011954489805135873,-0.03976726816873877,-0.05812889535386151,-0.001457106741172276,0.03148496608651105,0.033140879074428475,0.04053632918158151,-0.3295089248290105,-0.06795951111214421,0.03153360903634897,-0.10191694360203815,0.03821510406467765,-0.05959319377595962,-0.11619666616011665,0.05395524102874283,-0.4138732542419179,-0.01298992810903743,0.09712700923824402,-0.002391287939211617,0.05542073488578164,0.029803983561001945,-0.001457106741172276,0.03642105665146084,0.2363343260219971,0.004598999824279415,0.05250525377830306,-0.4724100528778606,-0.005085555049005541,0.03881037910719062,0.1296681700821798,-0.02788657734178457,-0.0857899892213824,-0.05468853389051881,0.07014050235318192,0.40590107982964846,0.3468867068540271,0.148289070472308,0.12447954666278427,-0.015267195735003458,-0.014035500096119424,-0.012112634939412836,0.06168787714392926,-0.015131285654708976,0.027193465625294122,0.04053632918158151,0.09926406014801586,0.1296681700821798,0.11878008932488204,0.20654899996394932,0.02269222272877225,-0.04336674814631514,-0.013766713747260462,0.12265962049945467,-0.0414560317993552,0.13879367590491065,0.03496151106639683,0.010159641732835123,0.48162240380564136,-0.02385688610702602,-0.018377596194358636,-0.050304363320235884,-0.009305791738192015,0.08192227843724653,0.1855130973867689,,,0.016876481470915916,-0.010206031799355197,,-0.005085555049005541
AurelionSol,0.008803339358795292,-0.0332134673638938,0.05575896371380051,0.044978125148078585,-0.26178489593532234,0.06453089353836183,0.1104569406709669,-0.0007919881339039092,-0.12845156260198903,-0.15409258824301464,-0.0332134673638938,-0.0829834946409487,0.5382151040646777,-0.028324819889694985,-0.014590176463375126,0.13821510406467763,0.03821510406467765,0.09377065962023323,0.03540526800112326,0.1493262151757888,0.25299666203749294,-0.46178489593532235,-0.2951182292686557,0.1493262151757888,0.005551787481763104,-0.009730101414774428,-0.034787650756259,0.018215104064677634,-0.061784895935322326,0.10964367549324905,-0.21178489593532235,-0.46178489593532235,-0.12845156260198903,0.03821510406467765,0.13821510406467763,-0.021448761481540846,0.10964367549324905,0.31599288184245544,0.03821510406467765,0.03821510406467765,0.20488177073134428,-0.00024643439686078406,-0.14599542225111184,0.20488177073134428,0.03821510406467765,-0.46178489593532235,-0.46178489593532235,-0.0332134673638938,0.5382151040646777,-0.01734045149087793,0.10964367549324905,-0.46178489593532235,0.20488177073134428,-0.12845156260198903,-0.46178489593532235,-0.21178489593532235,0.28821510406467765,0.20488177073134428,0.03821510406467765,-0.0332134673638938,-0.0580581878607882,-0.12845156260198903,0.044978125148078585,-0.03956267371310013,0.03821510406467765,-0.12845156260198903,-0.007239441389867818,0.12488177073134432,-0.1465675046309745,0.5382151040646777,0.043265609115182735,-0.06722707280607065,-0.08083251498294142,-0.17607061022103665,-0.001457106741172276,0.10964367549324905,0.03821510406467765,0.5382151040646777,0.01931476042206598,-0.0981485322989587,-0.46178489593532235,-0.14599542225111184,0.03821510406467765,0.5382151040646777,-0.11619666616011665,0.004881770731344326,-0.4138732542419179,-0.12845156260198903,0.28821510406467765,0.1493262151757888,0.39535796120753475,-0.061784895935322326,-0.007239441389867818,0.03821510406467765,-0.46178489593532235,0.004598999824279415,0.13821510406467763,-0.4724100528778606,-0.46178489593532235,0.03821510406467765,0.5382151040646777,0.06651699085713048,0.03821510406467765,-0.21178489593532235,0.07014050235318192,0.40590107982964846,0.3468867068540271,0.5382151040646777,0.12447954666278427,-0.015267195735003458,0.5382151040646777,-0.46178489593532235,-0.061784895935322326,-0.015131285654708976,0.03821510406467765,0.20488177073134428,0.5382151040646777,0.5382151040646777,0.11878008932488204,0.20654899996394932,0.02269222272877225,-0.04336674814631514,-0.013766713747260462,-0.46178489593532235,-0.46178489593532235,-0.46178489593532235,0.03496151106639683,-0.01734045149087793,0.48162240380564136,0.019966928882195922,-0.018377596194358636,-0.050304363320235884,-0.009305791738192015,-0.46178489593532235,0.1855130973867689,,,0.016876481470915916,-0.010206031799355197,,-0.005085555049005541
Azir,0.23683289159118515,-0.19453965742842266,0.06504736322054494,-0.527872990761756,-0.08342854631731156,0.005460342571577348,-0.527872990761756,0.0027392541362032397,-0.06633452922329441,-0.027872990761755978,0.3812179183291531,-0.0829834946409487,-0.527872990761756,-0.019101060937194547,0.017581554692789436,0.1644347015459363,-0.32787299076175597,-0.1204655833543486,0.18641272352395832,-0.06633452922329441,-0.027872990761755978,-0.027872990761755978,-0.08342854631731156,0.10849064560188038,-0.038862001750766983,-0.08815667870501837,0.040530918033032326,-0.047103759992525196,0.2499047870160218,-0.19453965742842266,0.472127009238244,0.13879367590491065,0.13879367590491065,-0.32787299076175597,-0.043024505913271116,-0.048747742252809645,-0.11120632409508929,-0.027872990761755978,0.08751162462285944,-0.21208351707754547,0.13879367590491065,-0.03742713088914451,-0.027872990761755978,-0.09930156219032743,-0.09930156219032743,0.472127009238244,-0.027872990761755978,0.22212700923824402,0.472127009238244,0.072127009238244,-0.027872990761755978,-0.06633452922329441,0.072127009238244,0.22212700923824402,-0.027872990761755978,0.27212700923824407,-0.527872990761756,0.22212700923824402,0.11918583276765582,0.3054603425715774,0.0029912067691082456,0.472127009238244,0.072127009238244,-0.04686033253390787,0.22212700923824402,0.22212700923824402,-0.027872990761755978,0.05486082218788435,-0.04639150928027452,-0.005085555049005541,-0.015677868810536455,0.027682564793799602,-0.027872990761755978,-0.027872990761755978,0.472127009238244,0.072127009238244,-0.12787299076175596,0.04053632918158151,-0.012605815189236869,0.11918583276765582,-0.12787299076175596,0.09712700923824402,-0.027872990761755978,-0.027872990761755978,-0.11619666616011665,-0.05728475546763834,-0.527872990761756,0.19939973651097131,0.09712700923824402,-0.002391287939211617,-0.08342854631731156,0.029803983561001945,-0.19453965742842266,0.03462700923824402,0.13879367590491065,0.004598999824279415,0.072127009238244,-0.4724100528778606,-0.005085555049005541,-0.027872990761755978,-0.527872990761756,-0.052872990761756,-0.527872990761756,-0.07626008753594954,0.07014050235318192,0.40590107982964846,-0.527872990761756,0.148289070472308,0.12447954666278427,-0.015267195735003458,0.072127009238244,0.13879367590491065,0.27212700923824407,-0.015131285654708976,0.19087700923824402,0.04053632918158151,0.09712700923824402,-0.19453965742842266,-0.527872990761756,-0.527872990761756,0.02269222272877225,-0.04336674814631514,0.13879367590491065,0.472127009238244,-0.12787299076175596,0.13879367590491065,0.03496151106639683,-0.027872990761755978,0.48162240380564136,-0.019539657428422674,-0.018377596194358636,-0.050304363320235884,-0.009305791738192015,0.472127009238244,0.1855130973867689,,,0.016876481470915916,-0.010206031799355197,,-0.005085555049005541
