summonerName,summonerId,accountId,rank,pp,updated_date
아스키라무,1458717,1086317,GOLD II,"[('ADC', 44), ('SUP', 25)]",2018-12-08
페이커,6937800,5004769,DIAMOND III,"[('MID', 56), ('ADC', 14)]",2018-12-08
달고나,1132516,724072,SILVER IV,"[('TOP', 36), ('SUP', 32)]",2018-12-08
juniq,4433223,3501116,GOLD II,"[('TOP', 55), ('SUP', 25)]",2018-12-08
서울도봉동장종명,5712743,4391958,DIAMOND IV,"[('ADC', 43), ('MID', 28)]",2018-12-09
루세테,10640746,7421667,PLATINUM IV,"[('MID', 45), ('ADC', 20)]",2018-12-09
레박,8328214,5779346,PLATINUM IV,"[('SUP', 90), ('TOP', 5)]",2018-12-14
zionavel,8243052,5682178,DIAMOND IV,"[('ADC', 72), ('SUP', 14)]",2018-12-14
탑에사는괴물,3634732,2383109,DIAMOND IV,"[('TOP', 67), ('SUP', 16)]",2018-12-14
호매실주민센터,3825727,3022693,GOLD III,"[('JUN', 42), ('SUP', 32)]",2018-12-14
반찬흔한백반,3425812,2689411,GOLD IV,"[('JUN', 70), ('TOP', 13)]",2018-12-14
luna달달,2863098,2146838,PLATINUM I,"[('JUN', 75), ('SUP', 20)]",2018-12-14
ascute,8220721,5628518,GOLD III,"[('MID', 33), ('ADC', 33)]",2018-12-14
용뿌잉뿌잉,9131076,6161034,GOLD IV,"[('MID', 45), ('TOP', 18)]",2018-12-14
요뚜기,15080148,201090590,GOLD IV,"[('MID', 40), ('SUP', 39)]",2018-12-14
서새봄의구독냥이,1993920,1420896,PLATINUM II,"[('JUN', 42), ('ADC', 39)]",2018-12-14
눈이내리는길,31540515,205237557,PLATINUM IV,"[('JUN', 66), ('MID', 19)]",2018-12-14
말ㅤㅈㅢㅤ,9275906,6528569,GOLD I,"[('JUN', 18), ('ADC', 12)]",2018-12-14
cleann,24160926,203570795,PLATINUM II,"[('MID', 46), ('SUP', 45)]",2018-12-14
바보다랑어,9321455,6408758,PLATINUM IV,"[('ADC', 60), ('SUP', 15)]",2018-12-14
범실,55270228,208784230,PLATINUM III,"[('SUP', 90), ('ADC', 4)]",2018-12-14
신나라소녀,4180740,3284921,SILVER III,"[('SUP', 70), ('MID', 4)]",2018-12-19
금동이네형,2103010,1590089,PLATINUM IV,"[('TOP', 65), ('SUP', 15)]",2018-12-15
잉여로운생활,1397584,935087,GOLD IV,"[('JUN', 6), ('ADC', 3)]",2018-12-15
싸이클롭s,1415719,892812,BRONZE I,"[('JUN', 33), ('TOP', 29)]",2018-12-15
띠부레벌레,3409670,2736435,GOLD III,"[('MID', 27), ('TOP', 27)]",2018-12-15
키이샤,25110964,203794085,PLATINUM IV,"[('SUP', 85), ('MID', 7)]",2018-12-15
반찬,6721319,4766263,PLATINUM III,"[('SUP', 58), ('ADC', 31)]",2018-12-16
해벌레,4262500,3389779,SILVER IV,"[('SUP', 41), ('ADC', 24)]",2018-12-16
야스오만밴합니다,10831308,7629140,DIAMOND IV,"[('JUN', 69), ('SUP', 23)]",2018-12-16
토람,1695190,1169244,DIAMOND IV,"[('SUP', 78), ('ADC', 11)]",2018-12-16
내등짝을형에게,4190927,3299481,GOLD IV,"[('SUP', 62), ('MID', 23)]",2018-12-16
lovesh0t,32760389,205559058,GOLD III,"[('MID', 39), ('ADC', 23)]",2018-12-16
산타님,2846977,2233562,PLATINUM IV,"[('ADC', 69), ('SUP', 19)]",2018-12-16
장서누,50631402,208223593,PLATINUM II,"[('MID', 49), ('SUP', 23)]",2018-12-17
kurt,8367435,5761703,PLATINUM IV,"[('MID', 58), ('ADC', 22)]",2018-12-17
심또,1775469,1302406,SILVER II,"[('SUP', 51), ('TOP', 37)]",2018-12-19
김쿼터,1202172,719977,GOLD I,"[('ADC', 58), ('MID', 26)]",2018-12-17
사이,1092430,671978,DIAMOND IV,"[('JUN', 71), ('SUP', 14)]",2018-12-17
청계산김승연,1232226,719668,PLATINUM III,"[('ADC', 68), ('SUP', 15)]",2018-12-18
고대담배,10975841,7786242,GOLD IV,"[('MID', 53), ('ADC', 34)]",2018-12-18
pury,1415129,888993,GOLD IV,"[('ADC', 68), ('MID', 16)]",2018-12-18
에솜,5251243,3824867,DIAMOND IV,"[('SUP', 57), ('MID', 37)]",2018-12-19
dnarb,1150313,667153,GOLD III,"[('MID', 53), ('TOP', 17)]",2018-12-19
민주광장미니스탑,7014722,4956842,GOLD IV,"[('JUN', 17), ('TOP', 8)]",2018-12-19
신나라,1752437,1089959,GOLD I,"[('TOP', 39), ('SUP', 26)]",2018-12-20
김키리니,4808679,3184968,GOLD IV,"[('TOP', 50), ('JUN', 31)]",2018-12-20
3월의토끼,3043294,520130,GOLD II,"[('JUN', 77), ('SUP', 15)]",2018-12-24
벌레포식자,4652674,3673049,GOLD IV,"[('SUP', 23), ('JUN', 20)]",2018-12-24
카프테카,2425531,1811858,DIAMOND IV,"[('ADC', 36), ('MID', 29)]",2018-12-24
라인메탈,2510219,1880469,GOLD I,"[('MID', 48), ('TOP', 27)]",2018-12-24
calixx,1558249,1080688,PLATINUM III,"[('JUN', 58), ('MID', 21)]",2018-12-24
냐냥고양이,1416549,243904,SILVER IV,"[('SUP', 33), ('MID', 1)]",2018-12-24
타푸고양이,2188416,1674864,DIAMOND IV,"[('MID', 50), ('TOP', 22)]",2018-12-24
코기토에르고줌,28120672,204419906,PLATINUM II,"[('SUP', 51), ('TOP', 24)]",2018-12-24
시난,11395533,200099903,BRONZE I,"[('JUN', 75), ('ADC', 13)]",2018-12-24
가나다,21844259,8038166,GOLD IV,"[('SUP', 94), ('MID', 3)]",2018-12-24
나다라,1453471,1013411,SILVER IV,"[('ADC', 37), ('SUP', 23)]",2018-12-24
